,Counter
immunoglobulins,1
lung,2
coculture techniques,1
immunology and microbiology (miscellaneous) ,2
immunologic factors,1
neutrophil infiltration,1
necrosis,3
tumor,2
pleural,1
bacterial toxins,2
"(eta^6^-benzene)-(2,4-bis((2,6-dimethylphenyl)imino)pentan-3-yl)-(2,6-dimethylphenyl isocyanido)-osmium trifluoromethanesulfonate",1
condensed matter - mesoscale and nanoscale physics,88
general materials science,93
quantum physics,65
11t06,1
mathematics - number theory,22
statistical and nonlinear physics,46
optics research group,8
statistics and probability,63
mathematical physics,47
mathematics,60
nonlinear sciences - exactly solvable and integrable systems,13
kdv equation,1
analysis,23
fluid dynamics,1
discrete mathematics and combinatorics,34
degasperis- procesi equation,1
solitons.,3
bbm equation,1
rossby waves,1
nonlinear waves,1
long waves,1
mathematics::analysis of pdes,2
physical sciences and mathematics,3
non-linear dynamics,16
partial differential equations,17
"primary: 35q35, 35q51, 35q53, secondary: 37k10",2
nonlinear sciences::exactly solvable and integrable systems,20
camassa-holm equation,3
geophysics and seismology,1
agarose hydrogel,1
functional properties,1
chondrocytes,2
mscs,1
oxygen tension,1
biomedical engineering,40
rheumatology,7
orthopedics and sports medicine,5
infrapatellar fat pad,1
next generation medical devices,5
cartilage repair,2
bioengineering,46
rc254-282,9
oncology,64
neoplasms. tumors. oncology. including cancer and carcinogens,9
immune system diseases,6
virus diseases,4
immunology and allergy,14
engineering(all),18
wideband,1
electromagnetic,1
fr4 pcb,1
energy harvester,1
nonlinear,2
vibration,1
bistable,1
low frequency,2
"computer science - distributed, parallel, and cluster computing",9
computer networks and communications,41
hardware and architecture,25
computer science applications,91
information systems and management,3
computational theory and mathematics,36
computer science - information theory,63
helicobacter pylori,6
rc581-607,17
immunologic diseases. allergy,17
evolutionary genetics,4
bacteriology,16
evolutionary biology,81
qh301,5
bacterial evolution,4
host-pathogen interaction,9
qr,6
bacterial pathogens,14
rb,1
helicobacter pylori infections,1
parasitic diseases,14
parasitology,15
in progress,13
general chemistry,99
35b40,1
mechanical engineering,39
mathematics - analysis of pdes,16
mathematics (miscellaneous),1
lasers,6
laser plasmas,2
colliding plasmas; stagnation layer; atom distribution; ion distribution; fast photography; optical emission spectroscopy;,1
physics,50
plasma,6
collisions (nuclear physics),2
physics - fluid dynamics,13
nonlinear sciences - pattern formation and solitons,6
condensed matter::superconductivity,10
salmonella enterica,3
genes & society,16
dna,10
proteins,38
polymerase chain reaction,3
molecular genetics,8
dna-binding proteins,5
topology,1
nucleic acids,19
dna transcription,10
biochemistry,281
gene expression,37
stress,6
ghrelin,1
dimerization,2
"digestive, oral, and skin physiology",9
obesity,6
food reward,1
endocrinology,3
"hormones, hormone substitutes, and hormone antagonists",6
"atomic, molecular and chemical physics",6
condensed matter - materials science,70
physics and astronomy (miscellaneous),35
thin films,12
mos2,1
displacement sensor,1
high bend single loss mode,1
ratiometric,2
electromagnetics and photonics,15
measurement,2
sentiment analysis; opinion mining; financial blogs;,1
information storage and retrieval systems,35
machine learning,41
trim28,5
colorectal cancer,11
stroma,5
epithelium,8
"prognosis, tumor antigen",5
research,55
performance,7
mobile mapping systems,1
tp1-1185,26
chemical technology,26
lidar,1
analytical chemistry,70
"national center for geocomputation, ncg",17
growth restriction,1
small‐for‐gestational‐age,1
radiology nuclear medicine and imaging,5
original paper,10
original papers,4
placental growth factor,1
reproductive and urinary physiology,6
radiological and ultrasound technology,2
obstetrics and gynaecology,5
reproductive medicine,2
pre‐eclampsia,1
female genital diseases and pregnancy complications,5
clostridium,1
spore,1
lab,2
fungi,36
review,66
bacillus,1
antimicrobial peptide,4
food processing,2
computational biology,44
[ sdv ] life sciences [q-bio],10
animal models,15
microbial ecology,8
mouse,8
model organisms,19
metagenomics,11
genome analysis tools,3
genomics,37
sequence analysis,16
[sdv]life sciences [q-bio],13
sequence assembly tools,3
digestive system,19
bacterial physiology,4
gastroenterology and hepatology,7
digestive physiology,2
fluids and secretions,18
anatomy and physiology,7
microbial physiology,6
colon,2
glycobiology,3
mathematics::complex variables,8
modularity,3
essentiality,2
redundancy,1
protein complexes,2
genetic interactions,1
yeast,3
general neuroscience,24
institute of physiology,3
610 medicine & health,6
570 life sciences; biology,7
center for integrative human physiology,3
electronic engineering,44
computer science,84
data_miscellaneous,13
software engineering,42
cloud services; service localisation; service internationalisation; language and governance localisation,1
media technology,5
lifelog,38
semantic web; concept selection; semantics; everyday concepts,1
information retrieval,111
multimedia systems,44
information systems,28
artificial intelligence,34
library and information sciences,10
aquamin,1
magnesium bioavailability,1
communication,11
multimineral supplement,1
food science,15
astro-ph.he,1
astrophysics - astrophysics of galaxies,18
astro-ph.ga,1
ocean colour data,1
biosensors,20
lectins; recombinant prokaryotic lectins; rpls,1
metal-organic papers,9
molecular medicine,41
"biochemistry, genetics and molecular biology (miscellaneous)",6
genetic structures,23
neuroscience,56
29999 physical sciences not elsewhere classified,9
quantitative biology::neurons and cognition,8
sense organs,22
computational  biology,7
physics::optics,49
ecology,99
biophysics,79
ontology change representation; change log; pattern discovery; implicit knowledge discovery; ontology evolution,1
fda,3
plan driven,2
2007/47/ec,2
mdd,2
v-model,3
tdd,1
computer sciences,15
software process improvement,10
xp,2
scrum,2
agile,5
medical device,4
sdlc,1
perturbations to soliton equations,1
inverse spectral transform,1
dynamic systems,7
kdv6,1
computer science - computer vision and pattern recognition,21
i.2.10,1
"linked data, human computer interaction in ai",1
intelligent content & communications,25
linked data,2
mathematics - statistics theory,3
computersystemsorganization_computer-communicationnetworks,40
computerapplications_computersinothersystems,9
computer science - networking and internet architecture,59
computingmethodologies_artificialintelligence,1
"congenital, hereditary, and neonatal diseases and abnormalities",6
developmental biology,70
111714 mental health,4
sociology,24
39999 chemical sciences not elsewhere classified,33
science policy,22
mathematics - optimization and control,16
computer science::information theory,33
nonlinear sciences - adaptation and self-organizing systems,4
control and systems engineering,13
computer science - social and information networks,35
physiology,54
exercise metabolism,1
muscle contraction and relaxation,1
submaximal exercise,1
ageing and degeneration,1
adipose tissue and obesity,1
muscle vasodilation,1
o2 uptake,1
time constant,1
heart,2
machine translating,68
statistics - applications,15
research articles,27
mathematics - classical analysis and odes,15
condensed matter::quantum gases,29
81v45,1
physics::atomic physics,13
physics - atomic physics,8
instrumentation,13
qc120-168.85,3
stationary phase,1
methacrylate,1
engineering (general). civil engineering (general),6
technology,10
ta1-2040,6
additive manufacturing,1
t,10
chromatography,1
electrical engineering. electronics. nuclear engineering,3
tk1-9971,3
porous materials,1
microscopy,8
microfluidics,34
qh201-278.5,3
descriptive and experimental mechanics,3
monoliths,1
[ info.info-ni ] computer science [cs]/networking and internet architecture [cs.ni],8
[info.info-ni]computer science [cs]/networking and internet architecture [cs.ni],12
network security,1
black hole attack,1
vehicular networks,1
denial of service,1
vanet,1
riboswitch,1
perspective article,1
non-coding rna,5
locked nucleic acids,1
small rna,1
antisense,1
external guide sequence,1
glycomimetic,1
selectin,1
metastasis,4
sialic acid,3
glycosylation,6
niche,1
sialyltransferase,1
coordination polymers,1
x-ray crystallography,3
focus on future leaders in nanoarchitectonics,1
"bifunctional organoarsonate ligand, 4-(1, 2, 4-triazol-4-yl)phenylarsonic acid (h2tpaa)",1
phtoluminesence,1
lead,2
metal-organic frameworks,1
physics - physics and society,45
condensed matter - statistical mechanics,32
condensed matter - disordered systems and neural networks,15
quantitative finance - statistical finance,8
plasma processing,2
nanoscience & materials,68
"bio-sensorics, bio-chips",1
statistics - machine learning,21
computer science - machine learning,12
computingmilieux_computersandeducation,6
condensed matter - strongly correlated electrons,39
"37n20, 65p30, 78a60",1
physics - optics,22
mathematics - dynamical systems,18
materials,19
ionogels; sensors; water quality; monitoring,1
r858-859.7,18
computer applications to medicine. medical informatics,18
structural biology,38
agronomy and crop science,4
soil science,7
original article,36
cellular and molecular neuroscience,50
veterinary science,7
circulatory and respiratory physiology,3
agriculture,5
rc955-962,2
ra1-1270,2
public aspects of medicine,2
arctic medicine. tropical medicine,2
"public health, environmental and occupational health",4
cross-lingual information retrieval,1
informationsystems_informationstorageandretrieval,44
physics - space physics,2
physics::plasma physics,7
physics - plasma physics,3
co-crystallization,1
membrane- protein structures,1
pre-labelling,1
soaking,1
new mounts,1
lipid mesophase,1
in meso,3
lcp,1
phase determination,1
selenomethionine,1
heavy atoms,1
cysteine mutagenesis,1
hamilton institute,79
bioinformatics,11
sensors; marine sensors,1
information retrieval; coarse-to-fine search,1
chemistry,111
ph monitoring; barcode system; ionogels;,1
tj,1
metals and alloys,14
biomaterials,17
qm,1
ceramics and composites,14
fibronectin binding proteins,1
qr1-502,31
business success,3
software smes,3
software process improvement; spi; business success; software smes,1
dna methylation,10
neuroblastoma,8
biomarker,5
research paper,21
prognosis,3
condensed matter - quantum gases,23
retrograde traffic,1
golgi morphology,1
er-golgi interface,1
rab proteins,2
commentary,4
high-content screening,1
systems biology,9
biology and life sciences,54
modelling and simulation,38
high energy physics::phenomenology,10
high energy physics - theory,55
communications infrastructure management,5
traitement des images,1
intelligence artificielle,1
synthèse d'image et réalité virtuelle,1
vision par ordinateur et reconnaissance de formes,1
traitement du signal et de l'image,1
applied microbiology and biotechnology,21
proceedings,6
glycan-binding protein,1
carbohydrates (lipids),7
original articles,12
glycan array screening,1
linker effects,1
molecular dynamics,6
glycan specificity,1
hemic and lymphatic diseases,9
statistics - methodology,22
molecular cell biology,31
signaling in cellular processes,8
computer modeling,1
signal transduction,25
biomacromolecule-ligand interactions,2
biophysics theory,1
chemical biology,3
transcriptional signaling,3
statistical mechanics,2
electronic devices and semiconductor manufacturing,2
patch antenna.,1
cell death,11
systems medicine,5
apoptosis,34
polycyclic compounds,4
interactive computer systems,30
assistive technology; elderly user; touchscreen,1
astrophysics - instrumentation and methods for astrophysics,10
2-(phenylsulfanyl)benzaldehyde,2
[info.info-cr] computer science/cryptography and security,5
[info.info-cr]computer science [cs]/cryptography and security [cs.cr],6
info_cr] informatique/cryptographie et sécurité [[info],3
computingmilieux_computersandsociety,1
info_cr] computer science/cryptography and security [[info],3
computer science - computation and language,29
inorganic chemistry,43
mathematicsofcomputing_numericalanalysis,6
gerd,1
agonist,1
baclofen,1
allosteric modulator,1
visceral hypersensitivity,1
gabab,1
secretion,3
rm1-950,3
therapeutics. pharmacology,3
motility,2
stroke rehabilitation,1
csp,1
rehabilitation,3
eeg,3
bci,1
health informatics,3
chemistry(all),4
chemical engineering(all),2
microfluidic platforms,2
biomedical diagnostics,1
lab-on-a-chip,1
general chemical engineering,20
jel:q58,1
"renewable energy, feed-in tariff, option pricing, renewable support schemes, market price risk",1
jel:c63,1
jel:q42,1
jel:q4,2
jel:c7,1
uncoupling protein 1,1
brown adipose tissue,1
reactive oxygen species,6
multi-modal sensor networks; sensors,1
environmental chemistry,26
physical and theoretical chemistry,47
proteins--research--data processing,2
proteins--research--technological innovations,2
linear motif,2
computingmethodologies_patternrecognition,23
protein-protein interaction,2
articles,15
protein-protein interactions,4
hardware_arithmeticandlogicstructures,4
data_codingandinformationtheory,18
statistics::computation,16
statistics - computation,29
"statistics, probability and uncertainty",24
magnetite channel,1
condensed matter::disordered systems and neural networks,2
14h52,2
mathematics - algebraic geometry,22
condensed matter::statistical mechanics,1
prokaryotes,8
polarised light,1
quantum wells,1
"optical, magnetic and electronic device materials",1
105 low-dimension (1d/2d) materials,2
204 optics/optical applications,1
magnetic and electronic device materials,1
ingan,1
201 electronics/semiconductor/tcos,1
non-polar,1
40 optical,1
high energy physics - lattice,19
quantum chromodynamics,1
high energy physics::lattice,18
anisotropic lattices,1
lattices,1
wilson fermion matrix,1
59999 environmental sciences not elsewhere classified,43
video compression,3
low complexity video compression; moving edge; dct;,1
nonlinear sciences - chaotic dynamics,5
psychology,8
geog,2
"geography, planning and development",3
computer security,4
wireless sensor networks; identity based cryptography; hardware architecture,1
digital electronics,4
drug discovery,23
education,12
ionic liquids; hydrated ils,1
mycobacterium tuberculosis,1
cell processes,8
vesicles,2
macrophages,6
molecular development,4
white blood cells,5
immune system,8
cytokines,9
phagosomes,1
actinobacteria,1
cellular types,20
phagocytosis,3
autophagic cell death,2
immune physiology,4
blood cells,6
animal cells,16
innate immune system,2
cellular structures and organelles,10
organisms,14
medicine and health sciences,33
physiological processes,4
paired emitter detector diode; pedd; optical sensor; lab-on-a-disc; ionogel,1
optical communication,7
"(eta^6^-benzene)-chloro-(n,n'-bis(2,6-dimethylphenyl)pentane-2,4-diimine)-osmium trifluoromethanesulfonate dichloromethane solvate",1
endocrine system,11
neuroendocrinology,1
comparative anatomy,1
microbial control,2
microbial metabolism,2
insulin,2
hormones,3
nutritional and metabolic diseases,5
digestive functions,1
endocrine cells,1
endocrine physiology,2
digestive regulation,1
endocrine glands,1
energy metabolism,3
integrative physiology,1
microbial growth and development,2
molecular neuroscience,4
homeostasis,3
signaling pathways,2
diabetic endocrinology,1
hormone synthesis,1
elisa,1
proteomics,14
biomarkers,7
regular article,2
balf,1
mass spectrometry,3
pathology and forensic medicine,4
physics - computational physics,7
electronic transport,1
high energy physics::theory,16
mathematics::symplectic geometry,8
mathematics - differential geometry,12
animal diseases,3
optical devices : quantum-well,1
mode-locked lasers [lasers and laser optics],1
quantum-well [optical devices],1
[ spi.opti ] engineering sciences [physics]/optics / photonic,2
[spi.opti]engineering sciences [physics]/optics / photonic,4
lasers and laser optics : mode-locked lasers,1
-wire and -dot devices,1
"(r*,r*)-1-fluoro-4-((1-(4-fluorophenyl)ethyl)sulfinyl)benzene",1
computer science - software engineering,8
computer science - artificial intelligence,19
electronic computers. computer science,1
qa1-939,5
qa75.5-76.95,1
80699 information systems not elsewhere classified,39
carbohydrate metabolism,2
genetic variation,1
molecular sequence data,3
high-throughput nucleotide sequencing,1
gene order,1
dna transposable elements,1
"genome, bacterial",2
metabolomics,4
bifidobacterium,1
phylogeny,3
genetic association studies,6
cluster analysis,1
multigene family,1
metabolome,1
rac-4-(2-(t-butylammonio)-1-hydroxyethyl)-2-hydroxymethylphenol hemikis(hexanedioate) hemikis(hexanedioic acid),1
service oriented architecture,4
service oriented architecture; soa,2
functional foods,1
probiotic,5
sourdough,1
prebiotic,1
xylo-oligosaccharides,1
gut microbiota,8
cannabinoid receptor type 1,1
internal medicine,3
rc31-1245,2
pervasive communications services,3
egfr,5
translational therapeutics,4
inhibitor,1
tace,1
breast cancer,17
monoclonal antibody,1
triple-negative,1
adam-17,1
linguistics and language,11
engagement,2
prosodic accommodation,1
automatic tool,1
form∼function interface,1
computer vision and pattern recognition,5
language and linguistics,11
interactional conversation,1
social resonance,1
computer science - discrete mathematics,11
online adaptation,1
detection,1
seizure,3
neonatal,2
physics::space physics,6
condensed matter::strongly correlated electrons,24
calcium,3
oxygen sensing,1
respiration,3
v-atpase,1
bioenergetics,5
mitochondrial uncoupling,1
neuronal cells,1
bafilomycin a1,2
antigen processing & recognition,1
detection antibody,1
protein arrays,1
whole-cell immunisation,1
cross-reactivity,1
chicken igy,1
antibody validation article,1
reference list,1
secondary antibody,1
antibody profiling,1
molecular biology of pathogens,1
4-fluorobenzyl 4-fluorophenyl sulfoxide,2
electronics,5
fourier series; frequency-domain analysis; integrated circuit modelling;,1
condensed matter - other condensed matter,12
er stress,4
multiple sclerosis,3
eae,1
calreticulin,1
spinal cord demyelination,1
electrochemistry,30
spectroscopy,18
bio/14 farmacologia,1
macromolecular substances,20
institute of immunology,6
"technology, industry, and agriculture",16
software engineering processes,1
sequence alignment,4
amino acids,2
oxidoreductases,3
enzymes,6
alcohols,2
mutagenesis,4
chemical compounds,6
chemical elements,1
physical sciences,21
molecular biology techniques,14
dehydrogenases,1
database and informatics methods,7
oxygen,3
site-directed mutagenesis,1
formaldehyde,1
phenylalanine,1
research and analysis methods,33
enzymology,7
aromatic amino acids,1
organic compounds,6
mutagenesis and gene deletion techniques,1
space exploration missions,1
spacecraft robots,1
nasa,1
robots,1
multilinguality,1
word segmentation,1
[info.info-tt]computer science [cs]/document and text processing,13
[info.info-ai]computer science [cs]/artificial intelligence [cs.ai],11
universal dependencies,1
interoperability,1
tokenization,1
film studies,1
video recordings,1
endocrine system diseases,2
psychiatry and mental health,14
antitumor therapy,1
malignancy,1
carcinoma,1
b-raf,1
tumor ,1
neoplasms,14
erk,3
spectrum analysis,8
nanostructure; photoluminescence; surface exciton; adsorption,1
nanotechnology,21
photonics,9
physique des phénomènes non linéaires,2
"catena-[bis(mu-[1,1'-biphenyl]-4,4'-dicarboxylato)-(mu-4,4'-([1,1'-biphenyl]-4,4'-diyl)dipyridine)-di-zinc]",2
difference equation,3
delay-differential equation,1
computational mathematics,18
state-dependent mesh,1
euler scheme,1
growth rate,2
cytology,5
qh573-671,5
ddc:610,4
computer science - computational complexity,3
f.1.3,2
f.2.2,2
computingmethodologies_symbolicandalgebraicmanipulation,10
leader peptidase a,1
molecular diagnostics,4
recombinase polymerase amplification,1
streptococcus pneumoniae,1
technology enhanced learning,1
computers and education,1
smart & sustainable planet,9
authorship attribution,1
stylistics,1
computational linguistics,30
digital humanities,17
authorship profiling,1
corpus linguistics,4
"generalliterature_reference(e.g.,dictionaries,encyclopedias,glossaries)",8
computer science - computers and society,6
software architecture,3
software architecture; co-evolving models; evolution pattern; graph-based model evolution,1
graph-based model evolution,1
evolution pattern,1
co-evolving models,1
cancer,72
infectious diseases/fungal infections,1
microbiology/applied microbiology,1
biotechnology/protein chemistry and proteomics,2
microbiology/medical microbiology,2
infectious diseases/respiratory infections,1
chemical biology/biocatalysis,1
microbiology/immunity to infections,1
biotechnology/biocatalysis,1
chemical biology/protein chemistry and proteomics,1
biotechnology/applied microbiology,1
biotechnology/chemical biology of the cell,1
tectonics and structure,1
eartharxiv|physical sciences and mathematics|earth sciences|tectonics and structure,1
earth sciences,5
geochemistry,1
bepress|physical sciences and mathematics|earth sciences|tectonics and structure,1
bepress|physical sciences and mathematics|earth sciences|geochemistry,1
geology,5
eartharxiv|physical sciences and mathematics|earth sciences,1
eartharxiv|physical sciences and mathematics|earth sciences|geology,1
bepress|physical sciences and mathematics|earth sciences,1
eartharxiv|physical sciences and mathematics,1
bepress|physical sciences and mathematics,1
bepress|physical sciences and mathematics|earth sciences|geology,1
eartharxiv|physical sciences and mathematics|earth sciences|geochemistry,1
peakons,3
inverse scattering,4
nonlinear sciences::pattern formation and solitons,9
ordinary differential equations and applied dynamics,4
qiao equation,1
solitons,1
quality estimation; ranking of machine translation output,1
query reformulations; relevance; context,1
controlled query; ad-hoc collection,1
example-based machine translation; ebmt; statistical machine translation; smt,1
microfibre,1
temperature dependence,1
fibre coupler,1
optics,2
phenomenology,1
nuclear theory,5
high energy physics - phenomenology,3
high energy physics,5
ophthalmology applications,2
photoreceptors,3
eye diseases,11
(170.5755) retina scanning,1
"(330.7327) visual optics, ophthalmic instrumentation",2
(170.0110) imaging systems,1
(330.5310) vision,1
astrophysics,13
wearable cameras; lifelogging; lead user; interview study,1
kinesiology,1
physical activity; sensors; energy expenditure,1
gastrointestinal tract,3
anatomy,16
eukaryota,6
pathology and laboratory medicine,9
ruminants,2
nutrients,2
biological tissue,3
animals,12
diet,6
bovines,2
toxicology,4
sequencing techniques,7
cattle,4
vertebrates,4
amniotes,4
rna sequencing,2
nutrition,7
mammals,4
detoxification,1
transfection,1
bioassays and physiological analysis,2
micrornas,3
luciferase assay,1
genome analysis,6
lung and intrathoracic tumors,1
cancers and neoplasms,3
mesothelioma,2
dna sequencing,4
rna,17
cell proliferation,5
next-generation sequencing,7
gene regulation,6
messenger rna,4
enzyme assays,1
luciferase,3
transcriptome analysis,5
biochemical analysis,1
general relativity and quantum cosmology,30
mathematics::differential geometry,6
(gps),1
positioning.,1
devices,1
technology and innovation,1
mobile,1
indoor,1
(gnss),1
proliferation,2
cell fate decision,1
competing protein interaction,1
systems analysis,2
mathematical modeling,1
extra views,1
signaling switches,1
affinity mediated phosphorylation,1
glioblastoma,5
nanoparticles,9
mirna-191,1
brain,1
aromatase inhibitor,1
nanotoxicity,1
cationic nanoparticles,1
cell division,4
nanoparticle,4
nanoparticle uptake,1
cell cycle arrest,1
lysosome,1
quantitative finance - portfolio management,6
genetics of the immune system,1
genetics of disease,3
rheumatoid arthritis (ra),1
celiac disease (cd),1
clinical genetics,4
cross language information retrieval; clir; machine translation; mt; language corpus,1
biological biomarker,1
spontaneous preterm birth,3
prediction,1
study protocol,1
sociology and political science,11
social psychology,3
database issue,2
computational biology/alternative splicing,2
genetics and genomics/bioinformatics,1
genetic algorithm,2
stacked generalization,1
author verification,3
[ info.info-tt ] computer science [cs]/document and text processing,6
ensemble methods,1
p-splines,1
functional data analysis,1
tellus project,1
apparent resistivity,1
msc 62,1
weiner process,1
mathematics - probability,20
whib7,2
antibiotic,2
cystic fibrosis,8
integrated map,2
mycobacterium abscessus,4
human activities,8
acoustics and ultrasonics,6
"surfaces, coatings and films",23
humanities,8
skin and connective tissue diseases,10
"genome integrity, repair and replication",5
(benzyl(2-fluorophenyl)-lambda^4^-sulfanylidene)cyanamide,6
human platelets,1
information technology,28
customizable ontology evolution; ontology change patterns,1
world wide web,19
images,1
atlas,1
systematic subcellular-localization,1
patterns,1
recognition,1
biological sciences,3
genome,3
lines,1
biologiska vetenskaper,1
service coordination; software services; collaboration,1
quantitative biology::molecular networks,5
evaluation,6
shot boundary detection,1
trecvid,1
(benzyl(4-methoxyphenyl)oxido-lambda^6^-sulfanyl)cyanamide,2
light-emitting-diodes,1
organic semiconductors,2
bayes control,1
singular system,1
disturbances,1
optimal,1
[info]computer science [cs],12
[ info ] computer science [cs],11
pareto distribution,1
mode-locked lasers,2
semiconductor lasers,2
