,Counter
surfaces and interfaces,10
materials chemistry,29
condensed matter - mesoscale and nanoscale physics,74
cardiovascular diseases,4
ureter,1
bladder,1
prostate,1
original paper,3
urethra,1
diabetes,2
human,2
neurons,1
interstitial cells,1
linear recurring sequences,2
applied mathematics,65
theoretical computer science,17
generalized joint linear complexity,1
engineering(all),23
algebra and number theory,21
multisequences,2
joint linear complexity,2
chemistry(all),9
amine-selective electrodes,1
high performance liquid chromatography,1
chemical engineering(all),6
amine analysis,1
potentiometric detection,1
general chemical engineering,17
particulate matter,1
spatial disaggregation,1
istanbul,1
waste management and disposal,5
temporal disaggregation,1
atmospheric science,6
pollution,10
emission inventory,2
[ info.info-ni ] computer science [cs]/networking and internet architecture [cs.ni],2
[info.info-ni]computer science [cs]/networking and internet architecture [cs.ni],2
adaptive distinguishing sequences,1
greedy algorithms,1
[info]computer science [cs],5
[ info ] computer science [cs],5
finite state machines,1
computer science::information theory,20
computer science - information theory,31
jel:c58,2
jel:g10,1
jel:c13,1
jel:g15,3
"weak-form efficient market hypothesis, long memory, arfima-figarch model, volatility",1
weak-form efficient market hypothesis; long memory; arfima-figarch model; volatility.,1
jel:g17,1
palynology,1
anatomy,8
salvia chrysophylla,2
glandular and non-glandular trichomes,1
condensed matter::quantum gases,30
condensed matter - quantum gases,25
condensed matter::other,9
"apa, alternative polyadenylation",1
"bfl, best first list",1
"ihc, immunohistochemistry",1
"poly(a), polyadenylation",1
"3?utr, 3? untranslated region",1
"3′utr, 3′ untranslated region",1
"slr, short to long ratio",1
"sam, statistical analysis of microarrays",1
"mrna, messenger rna",1
"mirnas, micrornas",1
cancer research,20
neoplasms. tumors. oncology. including cancer and carcinogens,8
"er, estrogen receptor",1
rc254-282,8
"pca, principle component analysis",1
"cfssubseteval, correlation-based feature selection subset evaluation",1
sm22 alpha,4
developmental biology,55
hypermethylation,4
plant biology,9
breast cancer,9
diagnosis,4
tagln,4
marine biology,9
dna methylation,6
69999 biological sciences not elsewhere classified,56
hematology,25
cell biology,62
pharmacology,23
cancer,37
full research paper,16
high density polyethylene,4
coupling agent,5
differential scanning calorimetry,4
thermogravimetric analysis,4
scanning electron microscope,5
condensed matter - disordered systems and neural networks,4
computer science - computer vision and pattern recognition,18
mathematics - optimization and control,8
mathematics - statistics theory,3
quantitative biology - biomolecules,6
condensed matter - statistical mechanics,39
statistics and probability,39
frequency analysis,1
cutting disc,1
lateral displacement,1
fourier transform,2
astrophysics - astrophysics of galaxies,10
instrumentation,28
plantae,5
apiales,3
apiaceae,4
pollen,2
turkey,38
oenanthe,2
taxonomy,7
micromorphology,1
einstein metrics,1
ta1-2040,32
engineering (general). civil engineering (general),32
(α β)-metrics,1
"(α β)-metrics,einstein metrics",1
astrophysics::galaxy astrophysics,39
astrophysics - high energy astrophysical phenomena,70
astrophysics::high energy astrophysical phenomena,70
astrophysics::cosmology and extragalactic astrophysics,29
computational mathematics,15
modified maximum likelihood,1
linear contrast,1
robustness,1
experimental design,2
non-normality,1
generalized secant hyperbolic,1
species distribution models,1
declining populations,1
amphibians,1
bioclim,1
climate change,5
cytokine,6
mouse,4
r5-920,10
pregnancy,3
medicine (general),10
instructional technology,1
case-based instruction,1
case library,1
relative density,3
coefficient of consolidation,2
liquefaction resistance,2
sand with fines,1
geology,27
clean sand,2
geotechnical engineering and engineering geology,7
karadeniz,1
sh1-691,21
ecology,46
spionidae,1
polychaeta,2
qh540-549.5,24
prionospio (minuspio),1
aquaculture. fisheries. angling,21
-,24
yeni kayıt,1
"11g09, 14h05, 14h10 (primary), 11r58, 14q05 (secondary)",1
computingmilieux_personalcomputing,2
mathematics - number theory,16
computingmethodologies_symbolicandalgebraicmanipulation,3
"agricultural commodity markets, turkey, eu",1
cell membranes,1
cellular stress responses,6
apoptosis,8
caspase inhibitor,1
cell processes,6
spectrophotometry,1
membrane proteins,1
dna fragmentation,1
white blood cells,3
proteins,12
dna,6
bacterial protein,2
spectrum analysis techniques,1
flow cytometry,2
heat shock response,3
aggregatibacter actinomycetemcomitans,3
cellular types,3
biology and life sciences,27
cell death,5
research and analysis methods,14
blood cells,4
immune cells,5
chaperone proteins,2
animal cells,3
nucleic acids,7
t cells,5
cellular structures and organelles,6
cytophotometry,1
medicine and health sciences,15
marble,1
conservation,2
anthropology,2
chemistry (miscellaneous),1
sulfation reaction,1
pla/mmt,1
protection,1
history,1
nanocomposites,4
hn. e-journals.,2
obstacle avoidance,1
electronics,18
software,22
assistive robots,1
redundant manipulators,1
self motion,1
artificial intelligence,14
sub-task control,1
electronic computers. computer science,2
computer science::robotics,8
tk7800-8360,17
qa75.5-76.95,2
[phys.hexp]physics [physics]/high energy physics - experiment [hep-ex],3
experimental results,3
nuclear emulsion,1
opera,3
modulation,1
neutrino/mu: secondary beam,3
muon: cosmic radiation,1
physics::instrumentation and detectors,5
resistive plate chamber,1
neutrino/tau: particle identification,3
[phys.phys.phys-ins-det]physics [physics]/physics [physics]/instrumentation and detectors [physics.ins-det],3
atmosphere: temperature,1
observatory,1
muon: flux,1
physics - instrumentation and detectors,7
correlation,1
high energy physics - experiment,9
physics::popular physics,1
neutrino: oscillation,3
nuclear experiment,30
gran sasso,2
scintillation counter,1
high energy physics::experiment,48
biological sciences,1
ta401-492,3
"chemistry/food science, general",1
pd nanowires,1
nanomaterials,1
"materials science, general",1
material science,2
materials science(all),9
nucleation,1
nano express,6
aao template,1
materials of engineering and construction. mechanics of materials,3
"engineering, general",1
nanotechnology,3
palladium,2
"physics, general",1
electrodeposition,1
nuclear theory,42
nonlinear sciences::pattern formation and solitons,4
rc955-962,3
biology,24
ra1-1270,3
public aspects of medicine,3
infectious diseases,22
parasitic diseases,17
arctic medicine. tropical medicine,3
"public health, environmental and occupational health",10
condensed matter::materials science,28
condensed matter::mesoscopic systems and quantum hall effect,31
general earth and planetary sciences,14
earth and planetary sciences(all),6
qb1-991,1
astronomy,1
ism: supernova remnants - galaxies: individual: ic342,1
astrophysics - cosmology and nongalactic astrophysics,15
condensed matter::strongly correlated electrons,21
computer science - artificial intelligence,13
j.3,1
histogram of oriented gradients,1
shape based,1
omnidirectional cameras,3
computingmethodologies_patternrecognition,10
gradient based,1
combined classifier,1
vehicle classification,2
rc581-607,4
dirofilaria immitis,1
wolbachia,1
"dirofilaria immitis, dirofilaria repens, wolbachia, multiplex-pcr, elisa",1
multiplex-pcr,1
internal medicine,8
rc581-951,3
immunologic diseases. allergy,4
specialties of internal medicine,3
elisa,2
rc31-1245,8
dirofilaria repens,1
humanities,6
quantitative biology - molecular networks,3
modelling and simulation,51
cellular and molecular neuroscience,22
pea3,1
axonal outgrowth,1
neurosciences. biological psychiatry. neuropsychiatry,9
body regions,5
neuroscience,13
neurofilaments,1
rc321-571,9
original research article,5
neuron,1
phosphorylation,2
computingmethodologies_computergraphics,9
catalysis,13
electronic properties and materials,1
electronic and spintronic devices,1
semiconductors,1
quantum hall,1
jel:r11,1
"regional development, public capital, convergence, turkish regions, spatial effects",1
jel:h54,1
global and planetary change,4
soil science,2
earth-surface processes,6
environmental chemistry,4
focal adhesion,2
image processing,2
imagej,1
particle analysis,1
group algebra,1
arens product,1
set of synthesis,1
multipliers,1
weakly almost periodic functions,1
analysis,14
helson set,1
set of uniqueness,1
mathematics - combinatorics,24
mathematics::combinatorics,2
discrete mathematics and combinatorics,7
mathematicsofcomputing_discretemathematics,4
crystal system,18
crystallography,18
space group,18
crystal structure,21
experimental 3d coordinates,18
cell parameters,18
"s-3-benzyl-4-methyl-1,3-oxazolidine-2-thione",1
rc648-665,5
"endocrinology, diabetes and metabolism",12
diseases of the endocrine glands. clinical endocrinology,5
endocrinology,11
türkiye,5
doğu karadeniz bölgesi,2
"turkey, black sea region, strumigenys, new records, key",1
black sea region,1
tayin anahtarı,1
"türkiye, doğu karadeniz bölgesi, strumigenys, yeni kayıtlar, tayin anahtarı",1
new records,2
yeni kayıtlar,1
key,1
strumigenys,1
computer vision and pattern recognition,3
genetics(clinical),8
research,22
[ info.info-cl ] computer science [cs]/computation and language [cs.cl],3
[info.info-cl]computer science [cs]/computation and language [cs.cl],3
dynamic time warping,1
bayesian decision making,1
rule-based algorithm,1
support vector machines,1
tp1-1185,23
inertial sensors,2
k-nearest neighbor,1
gyroscope,2
artificial neural networks,4
motion classification,1
least-squares method,1
chemical technology,23
macro-financial,1
ddc:330,19
spillovers,1
connectedness,2
mixed-frequency,1
"11e16, 11e45, 11f03, 11p84",1
"ho-1, heme oxygenase-1",1
"jnk, c-jun nh2-terminal kinase",1
"mtor, mammalian target of rapamycin",1
"dpi, diphenyleneiodonium chloride",1
oxysterols,1
"7-k, 7-ketocholesterol",1
"rt-pcr, reverse transcription–polymerase chain reaction",1
survival signaling,1
"nrf2, nuclear factor erythroid 2 p45-related factor 2",1
"smcs, smooth muscle cells",1
"nac, n-acetyl cysteine",1
"pi3k, phosphoinositide 3-kinase",1
"ros, reactive oxygen species",1
ros,1
"pkcs, protein kinases c",1
"are, antioxidant response element",2
"fitc, fluorescein isothiocyanate fluorochrome",1
"mek, mitogen-activated protein kinase erk kinase",1
"page, sds-polyacrylamide gel electrophoresis",1
"oxldls, oxidized low density lipoproteins",1
"pvdf, polyvinylidene difluoride",1
autophagy,1
"ampk, amp-activated protein kinase",1
"lipids (amino acids, peptides, and proteins)",7
27-hydroxycholesterol; autophagy; oxysterols; ros; survival signaling,1
"27-oh, 27-hydroxycholesterol",1
"hne, 4-hydroxy-trans-2-nonenal",1
"keap1, kelch-like ech-associated protein 1",2
qh301-705.5,43
"mapks, mitogen-activated protein kinases",1
"sirna, small interfering rna",2
"erk, extracellular signal-regulated kinase",1
"fbs, fetal bovine serum",1
27-hydroxycholesterol,1
biology (general),43
computer science - systems and control,5
computer science - networking and internet architecture,8
"t-butyl 4-methyl-2-thioxo-1,3-oxazolidine-3-carboxylate",1
chemistry,33
qd241-441,22
serratula species,1
qd1-999,26
fatty acid,4
botany,22
tyrosinase inhibitory activity,2
anticholinesterase activity,3
qk1-989,22
total phenolic and flavonoid,1
antioxidant activity,4
spatio-temporal modeling,7
solar radiation,4
universal kriging,3
multiple linear regression,2
experimental and cognitive psychology,2
behavioral neuroscience,3
83c99,1
structural biology,17
v1191 cyg,1
eclipsing,3
stars,3
fundamental parameters,2
general energy,14
05,1
condensed matter - superconductivity,9
morphology,3
bulgaria,1
balkan flora,1
greece,2
high energy physics - phenomenology,76
algebraic function fields,2
finite field multiplication,1
pairing based cryptography,1
l. information technology and library technology.,3
"lz. none of these, but in this section.",1
sesquiterpene lactone glycosides,1
chrysophthalmum montanum,1
guaianolides,1
computational biology,35
materials physics,1
computer science - social and information networks,1
materials science,1
physics - physics and society,1
protein structure,2
macromolecular structure analysis,2
interdisciplinary physics,1
photomodulated reflectance,1
quantum well infrared photodetectors (qwip),1
aspnes’ third derivative form,1
85.30.de,1
excitonic levels.,1
71.55.eq.,1
aspnes? third derivative form,1
85.60.-q,1
salicylate,1
rat,6
experimental research,1
tinnitus,1
otorhinolaryngologic diseases,3
flufenamic acid,1
experimental,1
trpm2,1
population genetics,5
isolation-by-distance,1
cyt b,1
glacial refuge,1
phylogeography,2
earth sciences,5
departures from diploidy,1
crops,4
genetic loci,2
agriculture,7
artificial gene amplification and extension,4
grasses,3
paleogenetics,1
polyploidy,1
paleontology,2
plants,3
molecular biology techniques,7
crop science,3
archaeology,1
wheat,2
cereal crops,3
polymerase chain reaction,3
extraction techniques,2
ancient dna,1
dna extraction,2
hexaploidy,1
social sciences,11
archaeological excavation,1
organisms,5
microbiology,41
19999 mathematical sciences not elsewhere classified,4
space science,17
80699 information systems not elsewhere classified,16
mathematics::general mathematics,3
mathematics - functional analysis,3
computer science::logic in computer science,1
"35q30, 35q35, 35b40, 35b41, 76f20, 76f55",1
mathematics::analysis of pdes,4
mathematics - analysis of pdes,12
mathematics - quantum algebra,5
buffer layers,1
gate dielectrics,1
deposition,1
magnetron sputtering,1
fourier transform infrared spectroscopy,3
hafnium oxides,1
altitude,1
essential oil composition,2
kundmannia anatolica hub.-mor,1
cortical layers,7
111714 mental health,8
neurod2,7
sociology,5
radial migration,7
cortical projection neuron,7
axon guidance,7
education,14
cancer treatment,3
molecular cell biology,16
metastasis,2
crosstalk (biology),1
cancer detection and diagnosis,1
liver diseases,1
cancers and neoplasms,4
cell movement signaling,1
hepatocellular carcinoma,3
signal transduction,10
gastroenterology and hepatology,1
mechanisms of signal transduction,2
basic cancer research,1
digestive system diseases,4
gastrointestinal tumors,1
cell signaling,2
epilepsy,2
genetic screening,1
next-generation sequencing,2
sanger sequencing,1
original articles,4
dravet syndrome,1
journal article,1
next?generation sequencing,1
next‐generation sequencing,1
kıyı balıkçılığı,1
av takımlar,1
uzatma ağları,1
çanakkale bölgesi,1
computer science::computer vision and pattern recognition,5
camera calibration,1
mdlt,1
differential evolution,1
astrophysics::instrumentation and methods for astrophysics,5
rbf neural networks,1
electric properties,1
carbon nanotubes,4
chlorine compounds,1
humidity sensors,1
characterization,4
gold electrodes,1
t-butyl (1-((dimethylcarbamothioyl)oxy)propan-2-yl)carbamate,1
7e model,1
constructivism,3
virtual chemistry laboratory,1
preservice computer teacher,1
segmented hpge detectors,1
[phys.nexp]physics [physics]/nuclear experiment [nucl-ex],2
time-of-flight (tof),1
neutron-gamma discrimination,1
252cf.,1
252cf,1
[phys.nexp] physics/nuclear experiment,1
agata,2
geant4 simulations,1
agata ; gamma-ray tracking ; segmented hpge detectors ; neutron scattering ; neutron-gamma discrimination ; cf-252,1
neutron scattering,1
fis/04 - fisica nucleare e subnucleare,2
gamma-ray tracking,1
jel:j71,1
jel:j70,1
j70,1
jel:j31,1
j71,1
j31,1
"male-female earnings differentials, gender wage discrimination, oaxaca–blinder decomposition, juhn–murphy–pierce decomposition",1
j16,3
gender wage discrimination,1
"male-female earnings differentials,gender wage discrimination,oaxaca-blinder decomposition,juhn-murphy-pierce decomposition",1
jel:o15,1
o15,1
health care economics and organizations,4
oaxaca-blinder decomposition,1
male-female earnings differentials,1
juhn-murphy-pierce decomposition,1
jel:j16,4
encapsulation,1
kluyveromyces marxianus,1
foamed alginate,1
industrial microbiology,1
qr1-502,5
agrowastes,1
physical sciences,6
general neuroscience,10
"galaxies: clusters: individual: abell 0141, galaxies: clusters: intracluster medium, x-rays: galaxies: clusters",1
qh426-470,11
microarray,1
optimization,4
ffpe,1
data in brief,1
gene expression,15
copper transport,7
copper homeostasis,7
yeast,8
copper chaperon,7
menkes disease,7
science policy,18
cell cycle regulation,7
wilson disease,7
learning differencesl,1
individual learning,1
item response theory,1
secondary mathematics education,1
adaptive assessment,1
systems biology,9
algorithms,6
metabolic networks,4
mathematics,7
data mining,3
biochemical simulations,1
engineering,3
metabolism,2
bacterial infections and mycoses,1
microbiology (medical),9
high energy physics::phenomenology,56
biophysical simulations,1
evolutionary modeling,1
"computer science - computational engineering, finance, and science",3
quantitative biology - quantitative methods,3
mathematics::number theory,8
"primary 35j60, 35b33, 35q55, secondary 33e30, 46f10, 46t20",1
i.7.2,2
fitoplankton pigmentleri,1
nutrient,1
büyük kanal projesi,1
fitoplankton boy grupları,1
i̇zmir körfezi,3
[sdv.ida]life sciences [q-bio]/food engineering,1
[sdv.aen]life sciences [q-bio]/food and nutrition,1
computingmilieux_miscellaneous,2
children with intellectual disabilities,1
parent needs,1
h,9
"parent needs, family needs, children with intellectual disabilities",1
family needs,1
information systems,10
library and information sciences,3
scanning electron microscopy,2
swiss 3t3,1
cell viability,1
chitosa,1
carbohydrates (lipids),4
cell culture,2
collagen immunohistochemistry,1
macromolecular substances,4
"technology, industry, and agriculture",12
"cardiomyopathy, hypertrophic",1
"infant, newborn",1
"metabolism, inborn errors",1
infant,1
"mto1, mitochondrial trna translation optimization 1",1
mitochondrial disease,1
mitochondrial diseases,1
ketogenic diet,1
hepatic encephalopathy,1
"oxphos, oxidative phosphorylation",1
female,1
cardiomyopathy,1
frameshift mutation,1
"child, preschool",1
"gdd, global developmental delay",1
"q-tof, quadrupole time-of-flight",1
"hcm, hypertrophic cardiomyopathy",1
oxidative phosphorylation defect,1
"id, intellectual disability",1
lactic acidosis,1
brain,1
oxidative phosphorylation,1
carrier proteins,1
mitochondrial translation optimization 1,1
biopsy,1
"wes, whole exome sequencing",1
adolescent,3
"mri, magnetic resonance imaging",1
humans,1
male,1
child,1
tay?sachs,1
hexosaminidase,1
tay-sachs,1
ganglioside,1
tay–sachs,1
neuraminidase,1
preferential flow,1
application rate,2
ecological modelling,1
environmental engineering,5
vadose zone,2
soil properties,2
hydrus-1d,1
vs2dti,1
proliferation,1
akt,4
computer science - discrete mathematics,6
computer science - data structures and algorithms,5
industrial and manufacturing engineering,8
water vapor adsorption,1
relative humidities,1
cds nanoparticles,1
quartz crystal microbalance techniques,1
thin films,4
computersystemsorganization_computer-communicationnetworks,13
computer science::networking and internet architecture,8
data_codingandinformationtheory,18
genetic,1
neural tube defect,1
development,2
etiopathogenesis,1
embryogenesis,1
children,3
spina bifida cystica,1
high energy physics::theory,26
physics::general physics,5
calcium carbonate,3
energy engineering and power technology,3
crystallization kinetics,1
carbonic anhydrase,2
polyurethane foams,1
fuel technology,2
alkalinity,1
computer networks and communications,28
rule matrix,1
nonlinear sciences::cellular automata and lattice gases,1
hexagonal cellular automata,1
reversible cellular automata,1
computer science::formal languages and automata theory,9
matrix algebra,1
animal models,4
cardiovascular anatomy,1
palliative care,1
clinical medicine,2
livestock,1
health care,1
medicinal chemistry,1
poultry,1
physical chemistry,1
drug research and development,1
cardiology,1
chickens,1
model organisms,8
photochemistry,1
photographic sensitizers,1
metal nanoparticle,1
surface property,1
aqueous solution,1
infrared spectroscopy,1
"management, monitoring, policy and law",1
"(eta^6^-1,2-bis((3-(mesitylmethyl)imidazolidin-2-ylidene-1-yl)methyl)benzene-c^2^,c^2'^)-chloro-ruthenium(ii) hexafluorophosphate dichloromethane solvate",1
burial dating,1
[sdu.stu]sciences of the universe [physics]/earth sciences,5
[sdu]sciences of the universe [physics],1
"[sdu.envi]sciences of the universe [physics]/continental interfaces, environment",4
"[ sdu.envi ] sciences of the universe [physics]/continental interfaces, environment",3
earth and planetary sciences (miscellaneous),5
geophysics,13
[ sdu ] sciences of the universe [physics],1
cosmogenic nuclide,1
villafranchian,1
[ sdu.stu ] sciences of the universe [physics]/earth sciences,4
paleomagnetism,2
homo erectus,1
[sdu.stu.gm]sciences of the universe [physics]/earth sciences/geomorphology,2
[ sdu.stu.gm ] sciences of the universe [physics]/earth sciences/geomorphology,2
geochemistry and petrology,7
neuroscience(all),1
hyperpolarization-activated cyclic nucleotide-gated (hcn) channel,1
persistent activity,1
computer simulation,2
neocortex,1
multiscale modeling,1
ih,1
control and systems engineering,9
aster,1
land use/cover,1
toa,1
corine,2
classification,6
reproductive and urinary physiology,3
scintigraphy,1
esophageal ph monitoring,1
urogenital system,1
gastroenterology,2
clinical trials study,1
gastroesophageal reflux disease,1
multichannel intraluminal impedance,1
calculs du pka,1
équilibre chimique,1
déamidation,2
analyse numérique,1
transpositions (chimie),1
[chim.othe]chemical sciences/other,2
asparagine,2
calculs d'énergie libre,1
protéines -- modifications posttraductionnelles,1
mécanique quantique/mécanique moléculaire,1
triosephosphate isomerase,1
dynamique du moléculaire,1
boric acid,1
inorganic chemicals,9
proteomics,5
genomics,13
boron,2
cytometry,2
computer-aided design,1
image cytometry,1
computer science,1
computer applications,1
forms of dna,1
evolutionary biology,9
plant pathology,2
plant pests,1
population biology,3
animal genetics,1
fungi,11
entomology,1
genetic polymorphism,3
zoology,9
adsorbate structure,1
nanoscale materials,1
magnetic anisotropy,1
tk5101-6720,16
telecommunication,16
"manyetik malzemeler,nanoyapılar,kimyasal sentez,manyetik özellikler",1
nanostructures,1
kimyasal sentez,1
chemical synthesis,1
nanoyapılar,1
magnetic properties,2
manyetik özellikler,1
manyetik malzemeler,1
magnetic materials,1
mathematics::algebraic geometry,5
surface diffusion,1
surface morphology,1
computer simulations,1
electromigration,1
models of non-equilibrium phenomena,1
grain boundary grooving,1
cathode drift,1
electrical engineering and systems science - signal processing,2
computer science - neural and evolutionary computing,3
29999 physical sciences not elsewhere classified,14
animal structures,7
110309 infectious diseases,13
embryonic structures,7
general computer science,9
physics::atmospheric and oceanic physics,4
tarım politikaları,1
social sciences (general),4
h1-99,4
muğla,1
rural development,1
globalization,1
küreselleşme,1
kırsal kalkınma,1
agricultural policies,1
physics - chemical physics,4
physics - biological physics,7
physics::accelerator physics,4
physics - computational physics,4
astrophysics::earth and planetary astrophysics,22
astrophysics::solar and stellar astrophysics,24
human genetics,3
signaling cascades,5
amyotrophic lateral sclerosis,1
neurodegenerative diseases,3
motor neuron diseases,1
genome analysis tools,6
mapk signaling cascades,1
neurology,11
genetics of disease,2
microarrays,6
genetic association studies,1
genome-wide association studies,4
quantitative biology::biomolecules,7
morfoloji,2
rana ridibunda caralitana,1
dağılış,1
taxonomi,1
"pediatrics, perinatology, and child health",7
c-type natriuretic peptide,1
amino-terminal propeptide of c-type natriuretic peptide,1
growth,4
biomarker,2
overweight,1
obesity,2
density functional calculations,2
intramolecular cycloaddition,2
ir spectroscopy,2
ab initio calculations,2
diels-alder reactions,2
"53a10, 57m50",2
[info.info-bi]computer science [cs]/bioinformatics [q-bio.qm],2
[ sde.be ] environmental sciences/biodiversity and ecology,4
contextualization,1
[info.info-db]computer science [cs]/databases [cs.db],2
[ info.info-et ] computer science [cs]/emerging technologies [cs.et],2
"[sdv.ee.eco]life sciences [q-bio]/ecology, environment/ecosystems",4
[info.info-et]computer science [cs]/emerging technologies [cs.et],2
cartography,1
coralligenous habitats,2
[ info.info-bi ] computer science [cs]/bioinformatics [q-bio.qm],2
[ sde.es ] environmental sciences/environmental and society,3
photo-quadrats,1
[ info.info-db ] computer science [cs]/databases [cs.db],2
[sde.es]environmental sciences/environmental and society,3
"[ sdv.ee.eco ] life sciences [q-bio]/ecology, environment/ecosystems",4
[sde.be]environmental sciences/biodiversity and ecology,5
protocols,1
biological psychiatry,4
visual perception,1
motion flow,1
neuropsychology and physiological psychology,4
psychiatry and mental health,6
visual perception; surface materials; motion flow; functional magneticresonance imaging (fmri); classification,1
original research,23
surface materials,1
functional magnetic resonance imaging (fmri),1
tnfsf15 gene,1
hemic and lymphatic diseases,8
"congenital, hereditary, and neonatal diseases and abnormalities",3
inflammation,1
diseases of the blood and blood-forming organs,6
rc633-647.5,6
sickle cell disease,1
fresh concrete waste,1
over-ordered concrete,1
returned concrete ;,1
batching plant,1
leftover concrete,1
mathematics - numerical analysis,5
gastric cancer,1
phage display,1
targeted approach,1
subtraction biopanning,1
530 physik,2
ddc:530,5
mathematics::complex variables,2
mathematics - complex variables,2
clinical psychology,1
law,3
naphthalimide,1
absorption,1
sociology and political science,1
naphthalene benzimidazole,1
tga curves,1
emission,1
cyclic voltammetry,1
spectroscopy,13
social sciences (miscellaneous),2
quantum,1
calculus,1
fock-bargman representation,1
fractals,1
generalized analytic functions,1
equipment and supplies,5
59999 environmental sciences not elsewhere classified,16
hamilton institute,1
"next-generation sequencing, population genetics, apobec deaminase",6
multifocal bladder cancer,6
tp248.13-248.65,7
gaers,1
gamma-aminobutyric acid,1
immunohistochemistry,2
nanoribbons,1
gold,1
uv-vis spectroscopy,1
flow of gases,1
nanorods,2
chitosan,3
adsorption,1
langmuir model,1
humidity sensing,2
desorption,1
behçet’s disease,1
extracellular vesicles,1
autoimmune,1
beh?et?s disease,1
ll37,1
immune activation,2
transcription factor,2
sma,1
survival,1
fluids and secretions,5
"bbm] sciences du vivant/biochimie, biologie moléculaire [[sdv]",1
neuronal apoptosis,1
"[ sdv.bbm ] life sciences [q-bio]/biochemistry, molecular biology",1
smn,1
"bbm] life sciences/biochemistry, molecular biology [[sdv]",1
neuroprotection,3
"[sdv.bbm]life sciences [q-bio]/biochemistry, molecular biology",1
animal diseases,1
innovation,1
screening,1
sense organs,8
predictive preventive personalized medicine,1
drug targets,1
rare diseases,1
"biochemistry, medical",1
health policy,2
biomarker panels,1
review,5
multi-omics,1
biobank,1
individualized therapy,1
endocrine system diseases,3
music,2
moss,1
sakarya,1
"bryophyta,flora,karasu,karayosunu,sakarya",1
bryophyta,1
flora,1
kara su,1
hexamethyldisilazane,2
surface modification,2
superhydrophobic surfaces,2
nanoporous alumina,2
inorganic chemistry,13
neoplasms,7
p1,1
funding,1
projects,1
tourism,1
cultural heritage,1
hs. repositories.,1
mems ;terahertz technology ;detectors ;metamaterials ;optical readout,1
"20d20 (20j15, 19a22)",1
mathematics - group theory,2
