,Counter
"cdo, cysteine dioxygenase",1
"hndo, hydroxy-2-naphthoate dioxygenase",1
"α-kg, α-ketoglutarate",1
"cgdo, 5-chloro-gentisate 1,2-dioxygenase",1
"2oh-1,3-ph2pd, 2-hydroxy-1,3-diphenylpropanedione",1
"dft, density functional theory",1
"exafs, extended x-ray absorption fine structure spectroscopy",1
facial triad,1
"qdo, quercetin 2,3-dioxygenase",1
"1,3-bis(2-pyridylimino)isoindoline, ind",1
"gdo, gentisate 1,2-dioxygenase",1
"bsqdo, quercetin 2,3-dioxygenase from bacillus subtilis",1
"epr, electron paramagnetic resonance",1
microbial control,3
cell membranes,8
molecular biology assays and analysis techniques,8
fluorescence imaging,3
amino acid analysis,2
antimicrobials,2
antifungals,1
protein interactions,10
membrane proteins,6
proteins,66
molecular biology techniques,27
neurospora,1
experimental organism systems,7
electrostatics,2
drugs,6
neurospora crassa,3
electricity,2
model organisms,59
imaging techniques,12
cellular structures and organelles,15
yeast and fungal models,8
mycology,21
info:eu-repo/classification/ddc/580,1
cell elongation;cellulose synthesis;cell wall integrity signaling;crrlk1l receptor;gene silencing,1
cellulose synthesis,1
isoxaben,1
gene silencing,4
research papers,53
cell wall integrity signaling,1
growth and development,1
crrlk1l receptor,1
plant science,293
botanical sciences,1
[phys.phys.phys-atom-ph] physics/physics/atomic physics,1
[phys.phys.phys-atom-ph]physics [physics]/physics [physics]/atomic physics [physics.atom-ph],4
retrospective studies,1
algorithms,19
research design,7
immunoassays,5
immunity,22
immunohistochemical analysis,1
acquired immune system,2
white blood cells,13
immune response,26
metastasis,5
immune system,14
immunohistochemistry techniques,5
immunofluorescence,3
tumor immunology,4
computer and information sciences,25
immune activation,5
clinical research design,6
blood cells,15
immune cells,28
animal cells,27
basic cancer research,10
immunologic techniques,10
histochemistry and cytochemistry techniques,5
b cells,3
clinical immunology,20
ddc 004 / data processing &amp; computer science,4
decomposition (mathematics),1
physics::plasma physics,51
optimal control,16
ddc:004,7
constraints,5
optimale kontrolle,3
hardware_performanceandreliability,7
gli proteins,2
adenosine receptors,2
pka,3
research perspective,2
protein kinase a,2
hedgehog signaling,2
adora,1
genetic structures,76
biochemical characterization,1
biotechnologically relevant enzymes and proteins,8
lactose conversion,3
galacto-oligosaccharides,4
halothermophile,2
?-glucosidase,2
β-glucosidase,2
β-galactosidase,4
structural analysis,1
halothermothrix,2
?-galactosidase,4
39999 chemical sciences not elsewhere classified,110
complementary and alternative medicine,15
development,31
sociology and political science,30
notes and commentary,1
sialic acid,4
gastropod,2
n-glycolylneuraminic acid,1
arion lusitanicus,1
n-acetylneuraminic acid,1
metaxya rostrata,2
x-ray crystallography,10
inorganic chemistry,219
"cyclopropanes, methylidene-",1
glycosides,3
computer graphics and computer-aided design,33
68q01,1
52c99,1
computer science - information theory,50
mathematics - functional analysis,311
theory; cosmology; dark matter; methods; n-body simulations; galaxies; clusters; general,1
bis(mu-ethylphosphonato)-bis(mu-methacrylato)-tetrakis(mu-propoxo)-tetrakis(mu-oxido)-hexakis(propoxo)-hexa-titanium,1
compatibility conditions,1
indicial equations,1
rings of integro-differential operators,1
linear systems theory,2
[math.math-ra]mathematics [math]/rings and algebras [math.ra],5
solutions polynomiales,1
[info.info-sc]computer science [cs]/symbolic computation [cs.sc],14
calcul formel,2
[ math.math-ra ] mathematics [math]/rings and algebras [math.ra],3
[ math.math-oc ] mathematics [math]/optimization and control [math.oc],5
[math.math-oa]mathematics [math]/operator algebras [math.oa],2
[ math.math-oa ] mathematics [math]/operator algebras [math.oa],2
polynomial solutions,1
théorie des systèmes linéaires,2
équation indicielle,1
computer algebra,9
anneaux d’opérateurs intégro-différentiels,1
[ info.info-sc ] computer science [cs]/symbolic computation [cs.sc],9
[math.math-oc]mathematics [math]/optimization and control [math.oc],16
conditions de compatibilité,1
empathy,4
nonconscious mimicry,1
contagious yawn,1
fixed action pattern,1
ql1-991,20
reptile,1
condensed matter::mesoscopic systems and quantum hall effect,77
mathematics - logic,207
mathematics::combinatorics,85
mathematics::general topology,95
mathematics::logic,103
06a06,1
"biochemistry, genetics and molecular biology(all)",74
psychological phenomena and processes,36
medicine(all),47
short report,16
mental disorders,48
esscher martingale transform for stochastic processes,1
optimal martingale measures,1
stochastic volatility models with jumps,1
option pricing,4
"channels, receptors, and electrical signaling",3
radicals,2
photochemistry,4
donor–acceptor systems,2
proton transfer,3
charge transfer,2
donor?acceptor systems,2
phase-space localization,1
short-time fourier transform,2
localization operator,1
modulation space,1
computingmethodologies_imageprocessingandcomputervision,49
disorders of consciousness,5
original communication,4
phase connectivity,1
eeg,21
auditory own name paradigm,1
clinical neurology,110
time–frequency analysis,2
time?frequency analysis,2
neurology,133
mitochondria,36
epitranscriptome,11
bisulfite sequencing,12
self-renewal,2
cellular and molecular neuroscience,141
neuroectoderm,1
5-methylcytosine,12
trna modification,2
widening spectrum of cns inflammatory disorders of the cns: edited by bruce volpe,1
t cells,15
aquaporin 4,5
myelin oligodendrocyte glycoprotein,2
autoantibodies,7
neuromyelitis optica spectrum disorders,2
protein structure,18
cysteine-rich antifungal protein,1
candida spp.,1
anti-yeast activity,1
neosartorya fischeri,2
protein isolation,1
traditional use,1
bilirubin,4
jaundice,1
medicinal plants,4
pharmacology (medical),95
ethnopharmacology,2
metalloporphyrin,1
mathematics - probability,192
"60h15, 60g57",3
phospholipase,4
hypocretin,1
orexin,1
"digestive, oral, and skin physiology",24
mathematics - complex variables,85
mathematics - combinatorics,438
"05a19 (primary) 05a05, 05a18, 20f55 (secondary)",1
mathematicsofcomputing_discretemathematics,45
regular articles,12
ebenaceae,1
rad-sequencing,1
"[sdv.bid.spt]life sciences [q-bio]/biodiversity/systematics, phylogenetics and taxonomy",7
[sdv.bv.bot]life sciences [q-bio]/vegetal biology/botanics,3
"[sdv.ee.eco]life sciences [q-bio]/ecology, environment/ecosystems",3
hybridization,7
diospyros,2
soil adaptation,1
adaptive radiation,4
[sde.be]environmental sciences/biodiversity and ecology,14
new caledonia,3
stomatognathic system,44
shame,1
childhood trauma,1
ptsd,2
modularity,1
network analysis,9
anger,3
rumination,2
icd-11,1
institutional abuse,2
geophysics,64
epilepsy,14
midbrain–hindbrain,1
cortical dysplasia,1
mri,10
developmental disorders,1
article subject,48
"ancient history, ancient sports, greek law, roman law",1
"alte geschichte, antiker sport, griechisches recht, römisches recht",1
tensile test,1
finite-element simulation,2
metals and alloys,69
synchrotron diffraction,1
polymers and plastics,42
ceramics and composites,34
thin films,14
biomass,4
polyploidy,15
alpine plants,6
vegetation cover,1
competition,12
short communication,38
postnatal,1
dermatology,64
dendritic cells,12
langerhans cells,9
langerhan,1
ontogeny,11
c-type lectin,1
computational mathematics,197
g.1.8,6
mathematics::numerical analysis,42
mathematics - classical analysis and odes,190
[sdv.gen.gpl]life sciences [q-bio]/genetics/plants genetics,2
physiological ecology,2
reproductive system,3
reproductive physiology,5
herpetology,4
reproductive and urinary physiology,33
urogenital system,21
evolutionary ecology,9
cholesterol,13
mini review,11
metabolism,29
fatty acid oxidation,2
mevalonate,2
transcellular,1
cytoskeleton,25
macromolecular substances,69
environmental science(all),33
belowground-aboveground interactions,1
ecosystem functioning,3
plant-animal interactions,1
soil invertebrates,2
plant community composition,1
general environmental science,70
biodiversity loss,1
global change ecology,3
invasive herbivores,1
stiffness orientation,1
human cortical bone,1
anisotropic elastic properties,1
biomaterials,40
multi-axial nanoindentation,1
mechanics of materials,92
research paper,130
secondary osteon,1
helical winding,1
education,71
jel:i21,5
jel:j31,12
educational attainment,4
erwerbsverlauf,1
i21,5
j31,7
j24,4
zeit,1
early tracking,2
earnings,1
bildungsertrag,1
health care economics and organizations,25
schulauswahl,3
school entry law,1
jel:j24,12
labor market entrants,1
"school entry law, early tracking, educational attainment, earnings, labor market entrants",1
österreich,22
altersgruppe,2
arbeitsmarktintegration,1
electron paramagnetic resonance,3
π-conjugation,1
copper,12
a2b corrole,1
pyrene,1
sila-sonogashira coupling,1
statistical and nonlinear physics,237
"17b05, 17b81",1
"earth-abundant elements (co, ni, cu)",1
homogeneous catalysis,7
c–h activation,4
c?h activation,5
materials chemistry,148
alkane oxidation,1
tripodal ligands,1
erythropoietin receptor,1
veterinary(all),22
cell culture,2
platelet-derived growth factor bb,1
animal science and zoology,114
cat,6
general veterinary,35
dog,16
osteosarcoma,2
erythropoietin,5
radiology and medical imaging,1
colon glands,1
malignancy classification,1
deep learning,3
computational science,1
segmentation,6
engineering (miscellaneous),49
meeting abstract,77
"trans,cis-iodo-(bis(n,n,n',n'-tetraethyl-p-(pentafluorophenyl)phosphonous diamide))-copper(i)",1
coronal mass ejections,2
interplanetary physics,1
natural hazards,12
solar/planetary relationships,1
space weather prediction,1
solar wind/magnetosphere interactions,2
space weather,5
geomagnetic storms,1
"solar physics, astrophysics, and astronomy",6
solar wind,3
physics::space physics,156
magnetic storms and substorms,4
astrophysics - earth and planetary astrophysics,95
history of geophysics,2
interplanetary magnetic fields,1
forward modeling,1
magnetospheric physics,9
magnetic flux ropes,1
biologicals,1
nmbas,1
basophil activation test,2
fluoroquinolones,1
nsaids,2
antibiotics,5
rcm,1
chemotherapeutics,1
numerical analysis,80
membrane biophysics,4
membrane bilayer,1
permeability,3
membrane biology,4
membrane reconstitution,1
channel gating,4
protein translocation,2
auxin,7
charophycean algae,1
land plant evolution,1
marchantia polymorpha,1
sex chromosome,1
evolutionsbiologi,1
information systems,56
computer science - learning,28
heterogeneously charged particles,2
inverse patchy colloids,2
charged substrates,2
quasi two-dimensional confinement,1
physics::atmospheric and oceanic physics,33
general computer science,71
computer science::discrete mathematics,21
computer science::formal languages and automata theory,32
"11b85 (primary), 68q70 (secondary), 68r15 (secondary)",1
computer science - numerical analysis,17
recombination,10
selection,8
migration,21
dispersal,5
fixation index,2
effective migration rate,1
linkage disequilibrium,5
general social sciences,20
social sciences(all),7
new species,16
ascomycota,10
molecular phylogeny,6
pathogen,4
diaporthales,1
systematics,14
translational research/science,1
skin and connective tissue diseases,31
immunobiology,1
graft‐versus‐host disease (gvhd),1
lymphocyte biology,1
body regions,21
intestinal disease,1
transplantation,10
bone marrow/hematopoietic stem cell transplantation,1
graft?versus?host disease (gvhd),1
immunology and allergy,138
minireview,7
basic (laboratory) research/science,1
behavior and behavior mechanisms,15
komagataella phaffii,2
mating factor,1
pichia pastoris,17
pheromone,1
yeast,33
mating,2
condensed matter - soft condensed matter,83
herpes simplex virus,2
cytomegalovirus,2
parthanatos,1
virus encephalitis,1
caspase-mediated,1
pathology and forensic medicine,40
cell death pathways,1
progressive multifocal leucoencephalopathy,1
computer science - symbolic computation,105
weakly efficient solutions,1
forward–backward algorithms,1
inertial proximal algorithms,1
control and optimization,64
vector optimization problems,1
atherosclerosis,20
alternatively activated macrophages (m2),1
cytokines,18
oxidized ldl,1
interleukin-13,2
laser,6
micropores,2
allergy,17
transcutaneous,3
"lipids (amino acids, peptides, and proteins)",157
"lipids and lipoproteins: metabolism, regulation, and signaling",1
? ? -neumann problem,1
mathematics::spectral theory,132
spectrum,1
compactness,3
∂¯-neumann problem,1
mathematics(all),61
zero-sum sequences,7
finite abelian groups,2
mathematical programs with vanishing constraints,1
90c26,1
sqp method,1
"49m37, 90c26, 90c55",1
\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {q}}_m$$\end{document}qm-stationarity,1
\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {q}}_m$$\end{document} q m -stationarity,1
