,Counter
[ sdv.neu.pc ] life sciences [q-bio]/neurons and cognition [q-bio.nc]/psychology and behavior,1
oïda,2
citologia,3
cell lineage,1
zebrafish,7
[ sdv.neu.sc ] life sciences [q-bio]/neurons and cognition [q-bio.nc]/cognitive sciences,1
inner ear,1
morfogènesi,2
ultraviolet radiation,1
braf mutation,2
dermatology,8
original articles,28
immunotherapy,7
adolescent melanoma,1
neoplasms,22
germline mutation,1
oncology,225
lasers,2
ocupació,2
33 - economia,8
"matching frictions unemployment, growth, wage setting systems.",1
jel:e24,7
jel:o41,9
mercat de treball,3
growth,5
creixement econòmic,4
wage setting systems,1
matching frictions unemployment,1
general physics and astronomy,216
twisted bilayer graphene (tbg),1
graphene,8
astrophysics - solar and stellar astrophysics,109
pre-main sequence [stars],3
"accretion, accretion disks",2
spectroscopic [techniques],5
astronomía,34
individual: ex lupi [stars],1
protoplanetary disks,4
"variables: t tauri, herbig ae/be [stars]",1
astrophysics::solar and stellar astrophysics,99
maximum relative diameter,1
geometría y topología,1
3-rotationally symmetric convex body,1
fencing problems,1
botany,6
marine biology,59
marine and aquatic sciences,12
extinction risk,1
marine conservation,3
plant science,134
fungal classification,2
biology,77
ecological risk,2
community ecology,11
marine environments,3
emerging infectious diseases,2
ecological environments,2
ecological metrics,3
marine ecology,9
pathogenesis,9
fungal physiology,3
fungi,168
mycology,10
health policy,21
dental services,1
children,21
inequalities in lack of access,1
spanish national health system,1
astrophysics - astrophysics of galaxies,232
al-andalus,1
medieval iberia,1
islamic lisbon,1
port activity,1
[phys.cond.cm-sce]physics [physics]/condensed matter [cond-mat]/strongly correlated electrons [cond-mat.str-el],3
condensed matter - strongly correlated electrons,48
hund’s coupling,1
robust pinball,1
condensed matter::strongly correlated electrons,26
[ phys.cond.cm-sce ] physics [physics]/condensed matter [cond-mat]/strongly correlated electrons [cond-mat.str-el],3
hubbard model,1
transition-metal oxides,1
cd,3
photometry [galaxies],5
galaxies: evolution,10
galaxies: photometry,6
galaxies: elliptical and lenticular,3
"elliptical and lenticular, cd [galaxies]",1
"galaxies: elliptical and lenticular, cd",1
formation [galaxies],9
galaxies: formation,3
[phys.astr]physics [physics]/astrophysics [astro-ph],55
evolution [galaxies],15
[phys]physics [physics],12
high energy physics - experiment,45
bepress|life sciences|biology,29
bepress|life sciences|neuroscience and neurobiology,4
quantitative biology::neurons and cognition,11
bepress|life sciences|systems biology,2
àrees temàtiques de la upc::matemàtiques i estadística::geometria,3
mathematics - symplectic geometry,10
53d50,2
integrable system,1
geometry and topology,44
mathematics::quantum algebra,2
singularities,2
mathematics::symplectic geometry,28
mechanics of materials,22
geometric quantisation,1
moment maps,1
foliated cohomology,1
quantització geomètrica,2
control and optimization,3
geometric quantization,2
:matemàtiques i estadística::geometria [àrees temàtiques de la upc],3
inorganic chemistry,100
catalysis,63
lepr gene,1
physical and theoretical chemistry,96
organic chemistry,99
spectroscopy,48
genetic polymorphism,14
insulin resistance,16
obesity,48
child,3
bronchial fluids,1
respiratory system,19
càncer de pulmó,4
esput,1
sputum,2
lung cancer,9
respiratory tract diseases,22
cellular and molecular neuroscience,146
ipsc,3
dorsal raphe,2
gaba,2
neural circuits and systems,1
depression,18
girk,2
central nervous system,9
stem-cell,1
gene-function,1
mutations,4
differentiation,6
atrophy,3
rab8a,1
skin,8
myosin vb,1
epithelial-cell polarity,1
kupffer cells,1
eukaryota,21
artificial gene amplification and extension,18
molecular biology techniques,55
animals,46
immunohistochemistry techniques,4
liver,4
vertebrates,30
amniotes,21
viral replication,6
reverse transcriptase-polymerase chain reaction,3
mammals,22
virus diseases,45
anatomy,117
hepatitis viruses,8
polymerase chain reaction,21
hepatitis e virus,1
swine,3
histochemistry and cytochemistry techniques,4
methodology article,6
rna,35
chimeric rnas,1
fusion transcripts,1
genètica bacteriana,3
library preparation protocols,1
high energy physics::theory,64
science (general),21
q1-390,21
general environmental science,22
design,2
environmental sciences,13
spain,73
mountains,3
qe1-996.5,12
palaeontology,11
geology,17
stratigraphy,7
buried ice,1
climate change,9
petrology,4
qe500-639.5,5
geophysics,11
rock glacier,1
evolution,31
sierra nevada (spain),1
soil science,7
permafrost,1
dynamic and structural geology,5
surface temperature,1
qe640-699,4
sierra nevada,2
geochemistry and petrology,8
qe420-499,4
bayesian network,1
hedgehog,1
mathematical model,1
ocellus,1
gene network,3
patterning,1
qb,34
astrophysics - earth and planetary astrophysics,41
qc,12
planetary systems; stars: fundamental parameters; stars: individual: kepler-539; astronomy and astrophysics; space and planetary science,1
gastric cancer,5
tumor marker,1
8-oxo-dg,1
dna repair enzymes,1
oxidative stress,40
geographic distribution,2
variant genotypes,6
flaviviruses,7
europe,37
antiviral therapy,5
hepacivirus,7
heredity,13
population dynamics,9
hepatitis c virus,8
genetic mapping,8
"short-sales constraints, financial stability, financial institutions, credit default swap, contagion",1
jel:g01,7
jel:g12,8
jel:g14,3
jel:g18,1
convergence analysis,2
particle filtering,1
statistics - computation,10
telecomunicaciones,22
"60j05, 60f05, 65c05",1
parallelisation,1
stochastic fitzhugh-nagumo,1
excitable media,1
thermoelectric effects,1
nanowires,3
surface scattering,1
thermal conductivity,2
thermal models,1
cox ring,1
plane divisorial valuation,1
cone of curves,1
mathematics - algebraic geometry,61
general mathematics,115
rational surfaces,1
replication stress,1
ewing sarcoma,5
dna repair,12
priority research paper,4
atr,1
rhizophagus irregularis,2
plant culture,31
sb1-1110,31
arbuscular mycorrhizal fungi,2
symbiosis,6
original research article,51
copper,5
iron,6
zinc,4
metal transporters,1
taste receptors,10
appetite-reward pathways,10
coding genetic variation,10
future association studies,10
genotyping array,11
biogenic amines,3
"biochemical phenomena, metabolism, and nutrition",49
virulence,13
antibiotic resistance,6
enterococcus,1
milk,2
photosynthesis,6
thermal stress,1
brassica,4
mouse models,19
cell differentiation,12
animal models,48
molecular biology assays and analysis techniques,11
gene expression and vector techniques,3
apoptosis,37
cell processes,25
cell death,22
model organisms,54
hyperexpression techniques,1
"j - labor and demographic economics/j.j3 - wages, compensation, and labor costs/j.j3.j31 - wage level and structure • wage differentials [jel]",1
organizational behavior and human resource management,10
jel : ],1
"d - microeconomics/d.d8 - information, knowledge, and uncertainty/d.d8.d84 - expectations • speculations [jel]",1
jel : [,1
learning,9
effort,1
intermittent reinforcement,1
[ shs.eco ] humanities and social sciences/economies and finances,9
jel : d:d8:d84,1
incentives,1
[shs.eco]humanities and social sciences/economies and finances,11
[shs.eco] humanities and social sciences/economies and finances,2
experiment,2
"jel: j - labor and demographic economics/j.j3 - wages, compensation, and labor costs/j.j3.j31 - wage level and structure • wage differentials",1
quitting,1
"c - mathematical and quantitative methods/c.c9 - design of experiments/c.c9.c92 - laboratory, group behavior [jel]",2
"jel: c - mathematical and quantitative methods/c.c9 - design of experiments/c.c9.c92 - laboratory, group behavior",2
randomness,1
jel : m:m5:m54,1
m - business administration and business economics • marketing • accounting • personnel economics/m.m5 - personnel economics/m.m5.m54 - labor management [jel],1
"experiment,quitting,learning,incentives,intermittent reinforcement,randomness,effort",1
"jel: d - microeconomics/d.d8 - information, knowledge, and uncertainty/d.d8.d84 - expectations • speculations",1
jel: m - business administration and business economics • marketing • accounting • personnel economics/m.m5 - personnel economics/m.m5.m54 - labor management,1
cd4+ cd28null t cells,1
dna methylation,15
ageing,35
inflammation,56
cd4+cd28null t cells,1
aging,38
tcr signaling,1
influenza,5
hospital care,1
vacunació -- espanya,1
vaccines,7
elderly,9
influenzavirus,2
population groupings,23
pacients,1
espanya,18
global health,5
grip,2
age groups,17
persones grans,5
viral diseases,24
assistència hospitalària,1
vacunació,3
influenza viruses,3
influenza a virus,1
older people,4
orthomyxoviruses,2
vaccination,6
food and beverages,166
chlorophyll meters,1
reflectance,1
vegetation indices,2
precision agriculture,1
fluorescence,6
flavonols,2
trophic interactions,4
ecology and environmental sciences,29
predation,5
carnivory,1
wolves,1
agriculture,32
livestock,8
ecological economics,1
bears,1
economics,4
animal diseases,22
epigenetics,40
physical sciences,95
genètica molecular,4
gene mapping,6
statistics (mathematics),15
computer and information sciences,42
arthropoda,8
insects,7
chromosome mapping,2
macromolecular substances,52
statistical methods,15
mathematics,62
drosophila melanogaster,5
mathematical and statistical techniques,14
test statistics,1
mapatge cromosòmic humà,2
chromosomal aberrations,2
drosophila subobscura,1
experimental organism systems,15
molecular genetics,7
computer software,3
drosòfila subobscura,1
chromatin,10
protein domains,3
human gene mapping,2
drosophila,17
inversions,1
invertebrates,20
rnai,2
megaselia abdita,2
60114 systems biology,3
gap gene,1
maternal co-ordinate,2
intergrated,1
wild-type,2
egfr,3
glioblastoma,10
mitotic catastrophe,3
homologous recombination,7
bubr1,2
pten,5
parp1,2
genomic instability,3
research paper,162
àrees temàtiques de la upc::matemàtiques i estadística::àlgebra::aritmètica,1
"11g10, 11g15, 14k22",1
"nombres, teoria dels",2
number theory,3
time series analysis,2
àrees temàtiques de la upc :: física,1
nonlinear sciences - chaotic dynamics,15
sèries temporals -- anàlisi,2
dinamics,2
physics - physics and society,26
complex network,1
complex networks,2
transitions,1
nonlinear dynamical systems,1
permutation entropy,1
sistemes no lineals,1
nonlinear systems,1
dinàmica,3
"physics - data analysis, statistics and probability",11
statistical complexity,1
physics - optics,32
: física [àrees temàtiques de la upc],1
pseudoperiodic time-series,1
time-series analysis,5
general social sciences,8
general psychology,57
jel:d85,4
allocation rules,1
sociology and political science,19
mathematicsofcomputing_general,1
"statistics, probability and uncertainty",27
networks,2
jel:c71,5
theoryofcomputation_general,10
"networks, coalition structures, allocation rules",1
coalition,1
cooperative game theory,1
soybean,2
quorum sensing,3
microbial ecology,10
plant microbiology,4
bacterial genetics,2
bacterias,1
lateral roots,1
bacterial biofilms,3
biofilms,6
bases de dades,3
databases,4
metadata,1
benchmarking,1
nucleic acid database project,1
àcids nucleics,2
:enginyeria mecànica [àrees temàtiques de la upc],3
nucleic acids,48
datasets,1
molecular dynamics simulation (md),1
chest pain units,1
:informàtica::aplicacions de la informàtica::bioinformàtica [àrees temàtiques de la upc],6
àrees temàtiques de la upc::informàtica::aplicacions de la informàtica::bioinformàtica,4
bioinformatics,19
àrees temàtiques de la upc::enginyeria mecànica,2
backbone geometries,1
nosql engines,1
genomics,64
computer simulation,3
database issue,4
simulació per ordinador,2
helical analysis,1
lung diseases,1
images,2
transbronchial needle aspiration,1
àrees temàtiques de la upc::ciències de la salut::medicina,2
:ciències de la salut::medicina [àrees temàtiques de la upc],3
diagnosis,10
radiology nuclear medicine and imaging,13
lymph-nodes,1
lung-cancer,3
aparell respiratori -- malalties,1
:enginyeria de la telecomunicació::processament del senyal::processament de la imatge i del senyal vídeo [àrees temàtiques de la upc],3
diagnostic ultrasonic imaging,1
àrees temàtiques de la upc::enginyeria de la telecomunicació::processament del senyal::processament de la imatge i del senyal vídeo,4
imatges ultrasonores,1
high energy physics::experiment,75
carbohydrates,6
communications,7
drug design,4
antitumour agents,1
molecular recognition,1
communication,10
heterocyclic compounds,5
biological chemistry,1
g-quadruplexes,1
general chemistry,116
"or, odds ratio",2
"os, overall survival",2
"cep17, chromosome 17 centromere enumeration probe",2
"hr, hazard ratio",2
"fec75, fluorouracil (600 mg/m 2), epirubicin (75 mg/m 2), and cyclophosphamide (600 mg/m 2)",1
"pr, progesterone receptor",2
"pcr, pathologic complete response",2
"ci, confidence interval",2
cancer research,144
neoplasms. tumors. oncology. including cancer and carcinogens,14
"her2, human epidermal growth factor receptor 2",2
"er, estrogen receptor",2
"dfs, disease-free survival",2
rc254-282,14
"ec-d, epirubicin (90 mg/m 2) and cyclophosphamide (600 mg/m 2) followed by docetaxel (100 mg/m 2)",1
"top2a, topoisomerase ii alpha",2
"cish, chromogenic in situ hybridization",2
"fish, fluorescence in situ hybridization",2
east australian,1
"[ sdu.ocean ] sciences of the universe [physics]/ocean, atmosphere",5
remote-sensing,1
western boundary current,1
local,1
sea,1
continental shelf oceanography,1
enrichment,8
current,1
upwelling,1
eddy,1
encroachment,1
"[sdv.ee]life sciences [q-bio]/ecology, environment",3
current-driven upwelling,1
wind-driven,1
wales,1
continental-shelf,1
downwelling,1
"[ sdv.ee ] life sciences [q-bio]/ecology, environment",3
multisensor,1
iberian peninsula,8
interannual variability,1
western,1
"[sdu.ocean]sciences of the universe [physics]/ocean, atmosphere",5
wind,3
costas procesales,1
litispendencia internacional,1
reglamentos sobre competencia judicial,1
private international law. conflict of laws,1
k7000-7720,1
time-varying delay,1
optimization,8
aperiodic control,1
air levitation system,1
multi-rate systems,1
staining,8
major histocompatibility complex,2
trypanosoma cruzi,12
protozoans,12
genetic loci,17
clinical medicine,14
parasitic protozoans,12
molecular development,17
immune system,18
cytokines,38
alleles,7
trypanosoma,7
innate immune system,11
specimen preparation and treatment,8
clinical immunology,22
cell staining,3
cloning,8
aepyornis,1
[sdu.stu.pg]sciences of the universe [physics]/earth sciences/paleontology,1
fibrolamellar complex,1
paleobiology,10
[ sdu.stu.pg ] sciences of the universe [physics]/earth sciences/paleontology,1
paléobiologie,1
bone histology,1
histologie osseuse,1
complexe fibrolamellaire,1
direct costs,1
indirect costs,1
family practice,8
trastornos de personalidad,1
fibromialgia,1
costes indirectos,1
fibromiàlgia,2
costos indirects,1
trastorns de personalitat,1
fibromyalgia,6
costos directes,1
fibromyalgia syndrome,1
personality disorders,2
costes directos,1
wmv,9
cmv,10
resistance,18
cucurbits,9
cytokinin-o-glucosyltransferase,9
mnsv,9
jel:h22,2
jel:h20,3
jel:h25,3
jel:h24,2
"taxation, tax incidence, effective taxation",1
structural biology,32
mathematics::algebraic geometry,23
"32s15, 58k60, 58k40",1
arts and humanities (miscellaneous),7
phonological development,1
linguistics and language,12
experimental and cognitive psychology,11
consonants,1
cognitive neuroscience,53
cochlear implants,1
motor control,3
syllables,2
cytology,16
medicina,77
bone density,3
qh573-671,14
osteoporosis,1
protein deficiency,1
controlled study,4
cytoarchitecture,1
adiposity,2
cohort study,2
cancer och onkologi,3
tumour characteristics,1
cancer and oncology,3
medical and health sciences,2
prostate cancer,12
càncer de pròstata,8
medicin och hälsovetenskap,2
obesitat,7
high grade,1
height,1
large-scale structure of the universe [cosmology],1
observations [cosmology],12
cosmology: cosmological parameters,1
galaxies: intergalactic medium,1
cosmology: large-scale structure of the universe,1
intergalactic medium [galaxies],1
cosmology: observations,14
[ phys.astr ] physics [physics]/astrophysics [astro-ph],40
cosmological parameters [cosmology],1
large-scale optimisation,1
[info.info-ni]computer science [cs]/networking and internet architecture [cs.ni],9
[info]computer science [cs],12
combinatorial auctions,1
linear programming,1
large-scale coordination,1
cytoskeletal rearrangements,1
mtdna transcription,1
tat,1
mitochondria,28
aerobic glycolysis,1
sustainable mobility,3
stated preference,1
discrete choice models,1
parking behaviour,1
transvection,1
mathematics - group theory,14
20g14,1
sympletic group over a finite field,1
classification of subgroups of linear groups,1
qa1-939,16
80699 information systems not elsewhere classified,137
common bean,12
transcriptome,21
lncrnas,5
gene duplication,8
tissue expression,8
bat93,4
senescence,6
cysteine desulfhydrase,1
carbon starvation,1
autophagic punctum,1
arabidopsis,13
atg8 lipidation,1
cytosolic sulfide,1
confocal microscopy,3
fusarium oxysporum,2
phaseolus vulgaris,3
effector,2
qr1-502,41
engineering (miscellaneous),22
"present value model, stock prices, dividends, cointegration, multiple structural breaks",1
polyphenols,7
uplc-esi-ms/ms,1
"endocrinology, diabetes and metabolism",24
uhplc-tof ms,1
fecal metabolome,1
wine,5
environmental econòmics,1
dret de patents,1
environmental policy,1
emissions trading,2
patent laws and legislation,1
llicències d'emissió transferibles,1
economia ambiental,1
política ambiental,1
q55; q58; o33; o38 [environmental policy; emission trading system; certificate oversupply; technological change; patent count data jel classification],1
administración de empresas,1
empresas,1
propiedad intelectual,1
derecho tributario,1
derecho laboral,1
artificial bee colony,1
functional programming,1
swarm intelligence,1
parallel programming,1
habitats,3
invasive species,2
population density,3
marine ecosystems,3
marine geology,2
fresh water,1
permutation,3
nervous system,104
"musculoskeletal, neural, and ocular physiology",12
kinase inhibitor,2
triple negative,2
breast cancer,41
ec-70124,4
esclerosi múltiple,3
multiple sclerosis,11
axonal damage,1
estrès oxidatiu,3
inflamació,10
mitocondris,2
axonal transport,1
neurology,59
cellular senescence,1
"biological phenomena, cell phenomena, and immunity",16
cell cycle,16
cdks,1
cyclin dependent kinase inhibitor,1
sarcomas,2
mental disorders,33
nervous system diseases,18
serotonin,1
basal ganglia,2
6-ohda lesion,1
developmental neuroscience,15
l-dopa,1
dyskinesia,3
parkinson's disease,7
e24,3
jobs,1
"economics, econometrics and finance",7
j62,3
routinization,2
business cycle,3
us labor-market,1
job tasks,2
"employment polarization, job tasks, routinization, business cycle, e24, j24, j62, o33,",1
j24,6
o33,3
employment polarization,2
taks specialization,1
skill,1
ddc:330,56
"general economics, econometrics and finance",8
me-too drugs,1
i10,1
breakthrough drugs,1
pharmaceuticals,2
jel:l1,2
radical innovation,1
r&d activities,1
jel:i1,2
incremental innovation,1
"pharmaceuticals, r&d activities, me-too drugs, breakthrough drugs, incremental innovation, radical innovation.",1
anti-angiogenic therapy,1
colorectal cancer,22
hgf,3
"anti-angiogenic therapy; colorectal cancer; hgf; resistance; tumor metabolism; adaptation, physiological; angiogenesis inhibitors; animals; colorectal neoplasms; disease models, animal; drug resistance, neoplasm; gene knock-in techniques; hepatocyte growth factor; heterografts; humans; mice; mice, scid; proto-oncogene proteins c-met; signal transduction; tumor microenvironment; xenograft model antitumor assays; oncology",1
research paper: autophagy and cell death,2
tumor metabolism,1
jel:d11,4
expenditure,1
jel:j64,5
d11,2
social insurance,1
j65,2
j64,3
consumption,4
consumption-smoothing,1
j68,2
unemployment insurance,1
jel:j68,2
jel:j65,2
astronomia,9
astrofísica,31
neuroscience(all),5
caudate nucleus,1
histology,20
putamen,1
mptp,1
high energy physics::lattice,55
bepress|life sciences|bioinformatics,3
retinal diseases,3
eye diseases,45
dystrophy,1
macular degeneration,1
adipose tissue,22
bone marrow,14
musculoskeletal diseases,29
human gene expression,10
stromal cells,14
mesenchymal stem cells,24
placenta,11
bioinformatic meta-analysis,9
cd marker,9
plasma cell disorders,1
càncer -- aspectes genètics,4
leucèmia,7
cardiovascular system,45
39999 chemical sciences not elsewhere classified,135
cardiovascular diseases,42
"technology, industry, and agriculture",18
desgaste proteico-energético,1
enfermedad renal crónica,1
malnutrition,3
chronic kidney disease,8
malnutrición,1
mortality,14
protein energy wasting,1
mortalidad,1
uremic sarcopenia,1
sarcopenia,1
dendritic cells,5
glyceraldehyde-3-phosfate-dehydrogenase,1
listeriosis,2
immunology and allergy,33
listeriolysin o,2
plasma membrane abscission,1
genetics(clinical),74
cytokinesis,2
cdc14,3
investigations,3
mitotic exit network,1
anaphase bridges,2
topoisomerase ii,1
qh426-470,34
synthetic genetic array analysis,1
top2-4 and top2-5,1
bacteria,52
"genome integrity, repair and replication",8
37b40,1
mathematics - dynamical systems,39
electrónica,20
540,3
ddc:540,6
electricidad,11
física nuclear,23
reversal learning,2
latent inhibition,2
regular article,2
myelination,1
schizophrenia,12
compulsivity,2
