,Counter
ecology and environmental sciences,33
[sde]environmental sciences,3
predation,5
birds,9
trees,8
rodents,2
plants,15
pines,3
birches,2
animals,27
owls,1
behavior,36
community ecology,20
terrestrial environments,13
forests,10
vertebrates,13
amniotes,9
raptors,1
mammals,4
ecosystems,16
organisms,50
spruces,2
squirrels,2
physics::optics,70
physics::accelerator physics,7
statistische methode,2
arbeitszeit,1
alkoholkonsum,1
research,164
santé publique,3
mathematics::classical analysis and odes,21
30c35 (primary) 30h10 (secondary),2
global health,8
mosquitoes,2
tropical diseases (non-neglected),2
pregnancy,20
preventive medicine,8
malaria,3
plasmodium falciparum,2
obstetrics and gynecology,18
parasitic diseases,25
vectors and hosts,2
public health,34
chemistry,181
qd1-999,123
physics,185
qc1-999,149
atmospheric science,196
physics - space physics,19
astrophysics - solar and stellar astrophysics,107
entire solutions,1
growth,8
linear differential equations,2
medicine (miscellaneous),37
nutrition and dietetics,25
microbiology,270
biochemistry,441
bepress|life sciences|neuroscience and neurobiology,4
high energy physics - phenomenology,234
high energy physics::phenomenology,139
astrophysics - cosmology and nongalactic astrophysics,123
high energy physics::experiment,105
computer science::computers and society,5
high energy physics - experiment,14
physics::atomic and molecular clusters,26
nonlinear sciences::exactly solvable and integrable systems,7
nuclear and high energy physics,219
eye diseases,21
genetic structures,55
high energy physics - theory,112
crystal system,35
crystallography,39
space group,35
crystal structure,40
experimental 3d coordinates,35
cell parameters,35
"45,46,47,48,49,50,51,52-octabutoxy-3,14,25,36-tetraoxanonacyclo[36.6.2.25,12.216,23.227,34.06,11.017,22.028,33.039,44]dopentaconta-1(44),5,7,9,11,16,18,20,22,27,29,31,33,38,40,42,45,47,49,51-icosaene bis(4-nitrobenzyl)dimethylammonium hexafluorophosphate",1
c.2.1,5
computer science applications,163
electrical and electronic engineering,104
computer science - networking and internet architecture,17
mtdna,7
dog,3
mpv17,1
biology (general),99
qh301-705.5,99
34a55,1
mathematics - analysis of pdes,118
34a30,1
glottal source generation,1
wavenet,1
mixture density network,1
14,7
goffman,1
coordination,3
conversation analysis,3
participatory sense-making,1
1001,15
social interaction,6
interactional autonomy,1
articles,38
42,3
innate immunity,10
placenta,2
preeclampsia,3
immunohistochemistry,1
complement,2
biotechnology,212
hematology,47
neoplasms,18
transcription factor,9
gwas,2
snp,7
review,46
genomics,40
lncrna,1
protein structure,13
behavior and behavior mechanisms,4
vitellogenin,1
apis mellifera,1
functional divergence,1
animal structures,40
seasonality,2
gene expression,68
condensed matter - strongly correlated electrons,50
"lipids (amino acids, peptides, and proteins)",61
human genetics,21
cancer screening,3
cytogenetics,1
gynecological tumors,3
genetic counseling,1
cancer genetics,8
cancer detection and diagnosis,6
cancers and neoplasms,15
genetics of disease,14
cytogenetic analysis,1
complex traits,2
heredity,11
medical genetics,2
genetic testing,1
palladacycle,1
dna,13
palladium,1
hybridization,2
organometallic,1
oligonucleotide,1
molecular genetics,10
malignant skin neoplasms,1
skin neoplasms,1
dermatology,9
skin tumors,1
stomatognathic diseases,12
bepress|life sciences|genetics and genomics|genetics,3
high energy physics::lattice,52
dna sequencing,2
rhizophagus intraradices,1
french antilles,1
[ sdv ] life sciences [q-bio],9
woody legume,1
fungal diversity,2
tropical silvopastoral system,1
vertisol,1
n-transfer,1
ntrogen fixation,1
networks,4
vesicles,1
root colonisation,1
agronomy and crop science,7
nutrition,25
arbuscules,1
[sdv]life sciences [q-bio],14
field conditions,1
forestry,25
2,1
development,8
2.1,1
er stress,2
neurotrophic factor,1
upr,1
cerebral dopamine neurotrophic factor,1
new research,5
manf,2
music cognition,3
cognitive psychology,17
memory,11
mathematics,55
cultural anthropology,2
mathematical and statistical techniques,11
physical sciences,77
humanities,23
psychology,84
behavioral disciplines and activities,52
acoustics,2
sensory perception,15
anthropology,4
statistics (mathematics),14
emotions,8
cognition,22
bioacoustics,1
research and analysis methods,78
factor analysis,3
anxiety,4
learning and memory,9
music perception,3
social sciences,33
statistical methods,16
cognitive science,16
tp1-1185,10
nanoscience,2
condensed matter::materials science,45
technology,16
semiconducting nanowires,1
inverse proximity effect,1
full research paper,5
general physics and astronomy,283
t,14
nanotechnology,8
majorana fermions,2
chemical technology,10
condensed matter::superconductivity,85
biological psychiatry,26
bipolar disorder,3
meta-analysis,9
genome-wide association,1
schizophrenia,14
polygenic score analysis,1
psychosis,4
astrophysics::galaxy astrophysics,141
astrophysics - astrophysics of galaxies,127
[phys.astr]physics [physics]/astrophysics [astro-ph],22
[ phys.astr ] physics [physics]/astrophysics [astro-ph],17
statistics - methodology,45
regression analysis,1
professions,2
diabetes mellitus,12
endocrine disorders,5
gait analysis,1
population groupings,20
physicians,6
people and places,26
walking,4
health care providers,2
health care,8
biological locomotion,3
metabolic disorders,10
medical doctors,1
medical devices and equipment,1
cognitive neurology,2
medicine and health sciences,109
cognitive neuroscience,51
endocrinology,31
physics and astronomy(all),40
inorganic chemicals,15
physics - applied physics,11
condensed matter::quantum gases,91
physics::atomic physics,27
condensed matter - statistical mechanics,57
condensed matter::other,25
analytical chemistry,21
weighted centroid,1
access point selection,1
received signal strength,1
indoor positioning,3
fingerprinting,2
path loss,1
oxygen pulse,1
blood pressure,6
circulatory power,1
peak oxygen consumption,1
exercise cardiac power,1
cardiology and cardiovascular medicine,35
cardiopulmonary exercise test,1
aerobic capacity,1
population,3
computer modeling,2
musculoskeletal system,26
chemical analysis,1
electromagnetic radiation,4
computer science,26
food and beverages,120
life sciences,13
embryonic structures,26
general neuroscience,44
issue 92,1
membrane virus,2
averaging,1
electron cryo-microscopy,1
structure,1
electron cryo-tomography,1
glycoprotein spike,1
general immunology and microbiology,28
cryo-electron tomography,1
general chemical engineering,11
subtomogram,1
cryo-electron microscopy,1
enveloped virus,1
astrophysics,97
plant biology/plant biochemistry and physiology,1
microbiology/microbial physiology and metabolism,1
biochemistry/membrane proteins and energy transduction,1
biochemistry/macromolecular assemblies and machines,1
computer science - data structures and algorithms,46
computer science::databases,18
ddc:612,1
"biological phenomena, cell phenomena, and immunity",6
macromolecular substances,44
environment and public health,10
nuclear energy and engineering,8
mesh: male,18
mesh: aged,7
angina,1
myocardial infarction,3
[sdv.spee]life sciences [q-bio]/santé publique et épidémiologie,38
mesh: angina pectoris,1
working hours,2
mesh: female,18
mesh: adult,17
chd,1
prospective,1
mesh: occupational diseases,5
mesh: myocardial infarction,1
stress,13
[sdv.spee] life sciences/santé publique et épidémiologie,15
mesh: london,3
mesh: humans,20
mesh: work schedule tolerance,2
mesh: prognosis,1
middle-aged,1
spee] life sciences/health care sciences and epidemiology [[sdv],4
mesh: prospective studies,7
clinical research,3
spee] sciences du vivant/santé publique et épidémiologie [[sdv],4
mesh: risk factors,10
mesh: cause of death,1
mesh: coronary disease,2
geophysics,21
computational mechanics,2
physics::fluid dynamics,50
mechanics of materials,25
geochemistry and petrology,11
personal mobile terrestrial system,1
omnidirectional cameras,1
low-cost sensors,1
forest mapping,1
pmts data quality,1
f500,8
astrophysics::earth and planetary astrophysics,71
physics::space physics,57
physics::chemical physics,17
inorganic chemistry,59
hospitals,1
diagnostic medicine,19
alzheimer disease diagnosis and management,1
proteases,3
geographical locations,9
enzymes,16
mental health and psychiatry,10
serine proteases,2
neurodegenerative diseases,5
proteins,57
antipsychotics,3
europe,20
alzheimer disease,2
drugs,4
antidepressants,2
enzymology,10
health care facilities,1
hardware and architecture,26
physics::plasma physics,11
computational biology,169
psychological phenomena and processes,34
computational  biology,83
cancer treatment,8
staining,3
proteasomes,2
protein complexes,2
nuclear staining,1
negative staining,1
clinical medicine,6
cytoplasmic staining,1
clinical oncology,1
surgical oncology,1
surgical and invasive medical procedures,5
gastric cancer,2
prognosis,7
specimen preparation and treatment,3
gastrointestinal tumors,3
insect science,11
melitaea cinxia,7
veronica spicata,1
ciencias biológicas,3
otras ciencias biológicas,2
hyposoter horticola,2
ciencias naturales y exactas,6
foraging behavior,1
multitrophic level interaction,1
insect-plant interactions,1
chemical cues,1
plantago lanceolata,2
magnetic fields,4
polarization,10
late-type [stars],1
general [stars],1
astrophysics::solar and stellar astrophysics,107
udp-sugar,1
carbohydrates (lipids),7
glucosamine sulfate,1
proteoglycan,1
introspection,1
consciousness,5
working memory,4
behavioral neuroscience,34
visual short-term memory,2
neuropsychology and physiological psychology,22
mental imagery,1
biomass yield,1
biomass,1
redox regulation,4
ntrc,4
bacteria,41
3-d model,1
thioredoxins,1
"biochemical phenomena, metabolism, and nutrition",15
chloroplast,9
overexpression,1
original research article,28
carbon metabolism,1
sense organs,57
[sdu]sciences of the universe [physics],13
asteroids,1
composition,1
surfaces,2
[phys.astr.ep] physics/astrophysics/earth and planetary astrophysics,2
[sdu] sciences of the universe,1
photometry,2
[sdu.astr.ep] sciences of the universe/astrophysics/earth and planetary astrophysics,2
nonlinear sciences::chaotic dynamics,2
absolute nodal coordinates,1
large deformations,1
finite elements,1
nonlinear sciences - chaotic dynamics,10
general,35
defense,2
crypsis,1
aposematism,1
disruptive coloration,1
camouflage,1
informationsystems_general,1
condensed matter - disordered systems and neural networks,30
mutual adaptation,1
general psychology,30
turn-taking,2
word rhythm,1
speech,8
entrainment,3
bf1-990,15
signal processing,71
transcript expression,1
cnv,1
hipsc,1
association analysis,2
exon expression,1
hesc,1
genetic mutation,3
drosophila melanogaster,4
organismal evolution,6
eukaryotic evolution,1
molecular neuroscience,4
gene function,9
mutational hypotheses,1
evolutionary developmental biology,2
psors1,8
cytoskeleton,13
cell adhesion,15
expression profiling,8
p-body,8
cchcr1,8
centrosome,8
rnaseq,11
diffusion,6
advanced biomass heating,1
"renewable energy, sustainability and the environment",17
solar systems,1
households,1
heat pumps,1
diversité génétique,2
biodiversité et ecologie,1
butterfly;biogeography;distribution range;taxonomy;phylogeny;phylogenetic;genetic diversity;molecular marker;insecte;satyrinae;mycalesina;mycalesis;heteropsis;lohora;nirvanopsis;bicyclus;hallelesis;biogeographie,1
taxonomie,1
phylogénétique,1
lepidoptera,2
classification,5
aire de répartition,1
papillon,1
marqueur moléculaire,1
biodiversity and ecology,1
nymphalidae,2
phylogénie,1
qh359-425,17
campylobacter coli,1
gamma glutamyltranspeptidase,1
phylogeny,6
comparative genomics,9
sialyltransferase,1
qp1-981,5
parkinsonism,2
spectrum,1
surface emg,1
motor symptoms,1
mutual information,1
physiology (medical),21
recurrence quantification,1
data article,5
r858-859.7,29
computer applications to medicine. medical informatics,29
synchrotron,1
science (general),13
q1-390,13
protein,7
proteomics and biochemistry,1
anomalous signal,1
experimental phasing,1
social investment,3
relationships,1
social networks,4
mobile phone,1
maintenance behaviour,1
micrometer-level tubes,1
tunneling nanotubes,1
musculoskeletal diseases,17
curved actin,1
nuclear transport,1
mlt,1
branched actin,1
osteoclasts,2
clinical biochemistry,19
tnt,1
sted microscopy,1
adulthood obesity,1
school performance,1
waist circumference,4
longitudinal,7
socioeconomic status,6
earth and planetary sciences (miscellaneous),35
qc801-809,36
geophysics. cosmic physics,36
"physics - data analysis, statistics and probability",16
cardiac electrophysiology,1
near-infrared spectroscopy,1
pharmaceutics,4
clinical neurophysiology,5
anatomy,34
cardiovascular anatomy,1
arteries,1
alcohols,2
engineering and technology,17
signal filtering,4
mannitol,1
chemotherapy,1
chemical compounds,18
electrocardiography,1
brain electrophysiology,2
bioassays and physiological analysis,7
organic chemistry,59
spectrum analysis techniques,7
infrared spectroscopy,1
brain mapping,7
electroencephalography,7
drug therapy,2
blood vessels,1
carotid arteries,1
electrophysiology,9
imaging techniques,8
electrophysiological techniques,2
organic compounds,17
neurophysiology,13
mathematics::k-theory and homology,3
mathematics::algebraic geometry,6
mathematics::number theory,12
algebra and number theory,21
mathematics - number theory,41
11y40,1
theoretical computer science,106
mathematical physics,90
"65n21 (primary), 94a08, 35j25 (secondary)",1
mathematics - numerical analysis,46
[info]computer science [cs],10
[info.info-ai]computer science [cs]/artificial intelligence [cs.ai],5
"[sdu.ocean]sciences of the universe [physics]/ocean, atmosphere",17
"[sdu.ocean] sciences of the universe/ocean, atmosphere",7
planetary systems,1
plasmas,1
acceleration of particles,3
earth,2
physics - plasma physics,18
physics - geophysics,7
turbulence,12
cardiovascular disease,9
healthy adherer effect,1
statins,3
medication adherence,2
"public health, environmental and occupational health",113
nitrogen dioxide,1
particulate matter,1
mortality,11
disease burden,1
morbidity,3
fine particles,1
ozone,4
population metrics,5
mammalogy,1
ecological environments,6
ecological metrics,10
population dynamics,8
metapopulation dynamics,1
population growth,3
population biology,21
population ecology,9
zoology,26
terrestrial ecology,4
"35r30, 65n21",1
statistical and nonlinear physics,74
data management,3
logic regression,1
eukaryotes,1
morphology,8
rna-polymerase-ii,1
multiple sequence alignment,1
pezizomycotina,1
subunit,2
ancestral character reconstruction,1
cleistothecial fungi,1
lichenization,1
divergence,1
fungal lineages,1
large data sets,1
difference set,1
additive base,1
backtrack search,2
packing,1
19999 mathematical sciences not elsewhere classified,49
111714 mental health,28
physics - chemical physics,28
physical and theoretical chemistry,62
[chim]chemical sciences,4
[phys]physics [physics],2
[spi]engineering sciences [physics],4
20501 classical and physical optics,8
relaxation dynamics,1
elastic waves,1
mass-polariton theory,1
control and optimization,7
physics - computational physics,36
discrete mathematics and combinatorics,41
general computer science,50
physics - optics,60
general chemistry,98
nephrogenesis,2
extracellular vesicles,10
kidney development,3
exosomes,7
renal organoids,1
inductive signalling,1
mathematics - functional analysis,61
spatial assignment,2
model evaluation,2
2008-2010,1
spatial interpolation,1
isotopic landscape,2
baltic sea,18
micromilling,2
salmo salar,4
"mitochondria, dna replication",1
mobile laser scanning,1
qk900-989,1
kinect,1
plant ecology,7
laser radar,1
remote sensing,1
point cloud,3
dbh,1
applied microbiology and biotechnology,48
qr1-502,31
bioengineering,52
synechocystis sp pcc-6803,1
thermosynechococcus-elongatus,1
ndh-1,1
subunit labeling,1
arabidopsis,8
living cells,1
identification,6
mitochondrial complex-i,1
domain,1
yellow fluorescent protein,1
electron microscopy,4
synechocystis 6803,1
thermus-thermophilus,1
chloroplast nad(p)h dehydrogenase,1
architecture,1
article subject,42
computer science - computational complexity,10
nonlinear sciences::cellular automata and lattice gases,16
"37b15, 68q80, 20f10",1
mathematics - dynamical systems,44
astrophysics::instrumentation and methods for astrophysics,18
antichlamydial agent,1
plant phenolics,1
antimicrobial peptide,1
chlamydia pneumoniae,3
nuclear theory,45
nuclear experiment,64
"computer science - distributed, parallel, and cluster computing",7
advanced and specialised nursing,6
"endocrinology, diabetes and metabolism",40
internal medicine,25
pathophysiology/complications,4
niche division,1
parus,1
intra- and interspecific competition,1
nest-site selection,1
species interactions,8
intra-and interspecific competition,1
cavity nesting birds,1
social information use,2
resource partitioning,1
evolutionsbiologi,1
ficedula,1
inverse problem,1
partial data,1
biharmonic,1
"35r30, 31b20, 31b30, 35j40",2
qh426-470,48
computer science - emerging technologies,3
mathematics - combinatorics,36
computer science - discrete mathematics,23
condensed matter::soft condensed matter,14
condensed matter - soft condensed matter,46
mechanical engineering,30
"surfaces, coatings and films",17
surfaces and interfaces,11
aging,23
retirement,5
"aging, cohort study, physical activity, retirement",1
physical activity,32
original article,75
cold-induced thermogenesis,1
brown adipose tissue,1
oxygen consumption,3
radiology nuclear medicine and imaging,19
[15o]o2 pet imaging,1
"35b27, 35b45, 60k37, 60f05",1
twins,9
longitudinal studies,10
endocrine and autonomic systems,3
29999 physical sciences not elsewhere classified,22
20199 astronomical and space sciences not elsewhere classified,7
neural plasticity,2
gasterosteus aculeatus,8
fish,12
holocene,7
phenotypic plasticity,8
sexual dimorphism,3
brain size,4
mathematics::analysis of pdes,14
mathematics - classical analysis and odes,72
"statistics, probability and uncertainty",35
josephson junctions,1
ta1501-1820,8
quantum gates,1
nonadiabaticity,1
superconducting qubits,1
stimulated raman adiabatic passage,1
quantum computing,1
applied optics. photonics,8
quantum control,1
statistics - applications,20
density,3
identifying code,6
optimal code,5
graph,4
ubiquitous data capture framework,1
mobile questionnaires,1
mobile sensing,1
user studies,1
electronic computers. computer science,16
context-aware systems,1
mobile toolkit,1
ict,1
qa75.5-76.95,16
esm,1
membrane trafficking,4
animal science and zoology,11
hb848-3697,5
fertility,2
demography. population. vital events,5
total fertility rate,1
[phys.hphe]physics [physics]/high energy physics - phenomenology [hep-ph],5
qcd,1
hphe] physics/high energy physics - phenomenology [[phys],1
collimation,1
hphe] physique/physique des hautes energies - phénoménologie [[phys],1
jets,1
qgp,1
human genetic studies,1
gastrointestinal hormones,1
candidate gene association study,1
human genetic study,1
substance use disorder,1
"digestive, oral, and skin physiology",16
computer science - information theory,96
entropic force,1
emergent gravity,1
quantum mechanics,1
emergent space,1
entropic gravity,1
dna-binding proteins,7
interleukin-8,1
chemotactic cytokines,1
bacterial outer membrane proteins,1
periodontitis,2
protein interaction domains and motifs,2
aggregatibacter actinomycetemcomitans,5
microbiology (medical),47
parasitology,22
computer networks and communications,34
computer science - logic in computer science,16
pyridine,1
data reports,1
diiodine,1
halogen bonding,1
galaxies [radio continuum],11
jets [galaxies],26
individual (oj 287) [bl lacertae objects],1
magnetohydrodynamics (mhd),7
physics - atomic physics,24
banal/hot nationalism,1
sociology and political science,10
"geography, planning and development",11
war,1
history,3
independence,1
resistance,3
mathematics - statistics theory,29
"60b10, 65j22 (primary) 60b11, 62c10 (secondary)",1
psba gene,2
regulation of gene expression,1
adaptation,16
stress responses,1
d1 protein,3
cyanobacteria,17
cyanophage,1
"(300.6550) spectroscopy, visible",1
spectroscopic diagnostics,1
(330.1730) colorimetry,1
(170.3880) medical and biological imaging,4
fis/01 - fisica sperimentale,2
astrophysics - instrumentation and methods for astrophysics,35
space instrumentation ; microwave radiometers ; instruments for cmb observations ; instrumental noise,1
fis/05 - astronomia e astrofisica,4
instrumentation,14
earth sciences,33
limnology,3
environmental impacts,1
marine and aquatic sciences,16
aquatic environments,7
toxicology,19
[ sde.be ] environmental sciences/biodiversity and ecology,3
[sde.be]environmental sciences/biodiversity and ecology,3
physics::geophysics,18
physics::atmospheric and oceanic physics,17
"49q20, 52a40, 60e15",1
drug discovery,30
chembio,3
microbio,1
photosynthesis,14
post-translational modification,3
phosphorylation,6
atmosphere,2
stomatal conductance,1
humus layers,1
global biogeochemical cycle,1
surface fluxes,1
scots pine forest,1
gas-exchange,1
to be checked by faculty,3
growing-season,1
great-plains,1
new-model,1
proteasome,2
autophagy,2
melanosome,1
catalysis,19
stem cell,2
spectroscopy,25
macula,1
computer science - neural and evolutionary computing,2
high energy physics - lattice,34
membrane contact sites,1
membrane & intracellular transport,1
lipid storage,1
lipodystrophy,1
medial prefrontal cortex,1
nervous system,38
critical period,1
original articles,35
basolateral amygdala,1
network,2
respiratory system,22
biodiversity,12
functional redundancy,1
human activities,24
woody debris,1
respiration activity,1
feedback,2
bf,1
child sexual abuse,1
interview training,1
investigative interviewing,1
serious gaming,1
general study orientations,1
university students,1
education,53
medical education,3
higher education,3
regulation of learning,1
food science,18
food microbiology,7
bis(mu-bromo)-bis(mu-chloro)-tridecahectakis(mu-4-t-butylbenzene-1-thiolato)-tetraheptacontatricta-silver,1
physics - instrumentation and detectors,15
ra1-1270,56
public aspects of medicine,56
regional centre policy,1
regional development,1
clinical study,7
hematopoiesis,2
extracellular matrix (ecm),1
hemic and lymphatic diseases,13
rc254-282,11
acute myeloid leukemia (aml),1
pcr,3
neoplasms. tumors. oncology. including cancer and carcinogens,11
"35r30, 58a10, 58j10, 58j32",1
chemistry(all),13
biological impacts of ocean acidification (bioacid),2
formal languages,2
computer science(all),36
language equations,7
decision problems,2
chemical properties,2
nuclear magnetic resonance,2
applied microbiology,4
microbial physiology,5
applied chemistry,1
lipoproteins,5
mesh:middle aged,1
"mesh:neoplasm recurrence, local",1
mesh:benzamides,1
mesh:humans,1
mesh:pyrimidines,1
mesh:imatinib mesylate,1
imatinib,1
adjuvant therapy,1
predictive score,1
mesh:drug administration schedule,1
gastrointestinal stromal tumor; imatinib; adjuvant therapy; predictive score,1
mesh:risk factors,1
cancer research,89
mesh:female,1
mesh:piperazines,1
gastrointestinal stromal tumor,1
mesh:antineoplastic agents,1
"mesh:chemotherapy, adjuvant",1
mesh:gastrointestinal stromal tumors,1
mesh:male,1
integumentary system,16
techniques: miscellaneous,1
space vehicles: instruments,2
cosmic microwave background,3
instrumentation: detectors,1
ge1-350,19
environmental sciences,21
water science and technology,18
"histone deacetylase complex, dna methylation, protein, localization, identification, growth, rna, transcription, proteasome, expression",1
65r32,1
quantum gases,5
collective modes,2
superfluidity,2
"35r30, 35r60 (primary), 35j25 (secondary)",1
technical note,3
submucosal gland (smgs),1
eda,1
fgf10,1
branching morphogenesis,1
stomatognathic system,7
cytoplasmic male sterility,1
demographic history,1
sytoplasminen koirassteriliteetti,1
a. lyrata,1
speciation,8
demografia,1
idänpitkäpalko,1
lajiutuminen,1
kukkimisaika,1
flowering time,1
paikallinen sopeutuminen,1
bepress|life sciences|systems biology,1
med12,5
fh,5
uterine leiomyosarcoma,5
histopathological uterine leiomyoma variants,5
uterine leiomyoma,5
hmga2,5
female genital diseases and pregnancy complications,20
green's r-relation,1
maximal clones,1
"physical, chemical, mathematical & earth sciences :: mathematics [g03]",1
mathematics - rings and algebras,6
clone lattice,1
08a40,1
"physique, chimie, mathématiques & sciences de la terre :: mathématiques [g03]",1
physics - fluid dynamics,21
quantum turbulence special feature,1
information systems,39
library and information sciences,16
social and behavioral sciences,28
time factors [mesh],1
mental health,32
behavioral and social aspects of health,10
